"Date","SANWARIA.NS.Open","SANWARIA.NS.High","SANWARIA.NS.Low","SANWARIA.NS.Close","SANWARIA.NS.Volume","SANWARIA.NS.Adjusted"
2015-09-14,6.35,6.45,6.05,6.35,11500,6.35
2015-09-15,6.35,6.5,6.35,6.45,4400,6.45
2015-09-16,6.55,6.65,6.25,6.35,26500,6.35
2015-09-17,6.35,6.35,6.35,6.35,0,6.35
2015-09-18,6.4,6.6,6.15,6.6,44200,6.6
2015-09-21,6.5,6.6,6.3,6.55,19900,6.55
2015-09-22,6.55,6.6,6.35,6.35,5100,6.35
2015-09-23,6.55,6.65,6.1,6.65,51300,6.65
2015-09-24,6.7,6.95,6.7,6.95,8400,6.95
2015-09-25,6.95,6.95,6.95,6.95,0,6.95
2015-09-28,7.25,7.25,6.65,6.65,56300,6.65
2015-09-29,6.65,6.9,6.4,6.75,45100,6.75
2015-09-30,6.9,6.9,6.45,6.45,70300,6.45
2015-10-01,6.45,6.55,6.2,6.45,38400,6.45
2015-10-02,6.45,6.45,6.45,6.45,0,6.45
2015-10-05,6.7,6.7,6.4,6.6,9600,6.6
2015-10-06,6.5,6.8,6.35,6.7,13800,6.7
2015-10-07,6.2,6.8,6.2,6.7,54400,6.7
2015-10-08,6.75,6.75,6.5,6.55,5900,6.55
2015-10-09,6.75,6.75,6.5,6.5,6700,6.5
2015-10-12,6.3,7.1,6.3,6.95,34600,6.95
2015-10-13,7,7.25,7,7.25,69500,7.25
2015-10-14,7.3,7.3,6.95,7.05,20000,7.05
2015-10-15,7.2,7.2,6.9,6.95,12300,6.95
2015-10-16,6.9,7.15,6.75,7,4400,7
2015-10-19,7.15,7.15,6.75,6.9,7000,6.9
2015-10-20,7.25,7.25,6.8,6.9,14500,6.9
2015-10-21,6.8,7.15,6.8,6.9,11700,6.9
2015-10-22,6.9,6.9,6.9,6.9,0,6.9
2015-10-23,7.5,7.5,6.85,7,15100,7
2015-10-26,7.05,7.1,6.9,6.95,9900,6.95
2015-10-27,6.9,7,6.65,6.8,41500,6.8
2015-10-28,6.5,6.75,6.15,6.2,201100,6.2
2015-10-29,6.1,6.3,6.05,6.25,13700,6.25
2015-10-30,6.3,6.4,6.1,6.2,34300,6.2
2015-11-02,6.4,6.8,6.1,6.75,43500,6.75
2015-11-03,6.95,6.95,6.1,6.4,250100,6.4
2015-11-04,6.55,6.65,6.25,6.35,41900,6.35
2015-11-05,6.1,6.5,6.1,6.25,23900,6.25
2015-11-06,7.5,7.5,6.6,7.5,431100,7.5
2015-11-09,8,9,7.85,9,1475700,9
2015-11-10,9.3,9.3,8.1,8.1,718800,8.1
2015-11-11,8.1,8.1,8.1,8.1,0,8.1
2015-11-12,8.1,8.1,8.1,8.1,0,8.1
2015-11-13,7.25,7.55,6.9,7.35,73100,7.35
2015-11-16,7.35,8.05,7,8.05,232700,8.05
2015-11-17,8.2,8.6,7.5,7.9,218400,7.9
2015-11-18,8,8.65,7.5,7.8,213600,7.8
2015-11-19,7.95,8.1,7.6,7.65,90900,7.65
2015-11-20,7.7,7.8,7.45,7.5,122400,7.5
2015-11-23,7.5,7.7,7,7.05,129800,7.05
2015-11-24,7.55,7.75,7.25,7.75,142000,7.75
2015-11-25,7.75,7.75,7.75,7.75,0,7.75
2015-11-26,8.05,8.5,8.05,8.5,251800,8.5
2015-11-27,8.7,8.7,7.8,8.1,184700,8.1
2015-11-30,7.95,8.4,7.85,8,56700,8
2015-12-01,7.8,8.2,7.75,8,96200,8
2015-12-02,7.9,7.95,7.3,7.55,396200,7.55
2015-12-03,7.55,7.65,7,7.05,279000,7.05
2015-12-04,5.8,7.75,5.8,7.45,518400,7.45
2015-12-07,7.5,7.7,7.25,7.5,93100,7.5
2015-12-08,7.5,8.95,7.2,8.65,893200,8.65
2015-12-09,8.75,9.25,7.3,7.6,1787900,7.6
2015-12-10,7.6,8.35,7.5,7.6,688800,7.6
2015-12-11,7.6,7.7,6.9,7,851900,7
2015-12-14,6.9,7.25,6.45,6.65,601000,6.65
2015-12-15,6.6,7,6.4,6.5,651200,6.5
2015-12-16,6.7,6.75,5.7,6.1,1706200,6.1
2015-12-17,6.2,6.6,5.9,6.35,268200,6.35
2015-12-18,6.6,6.6,6.25,6.4,223200,6.4
2015-12-21,6.6,6.75,6.2,6.5,398600,6.5
2015-12-22,6.45,6.65,6.25,6.25,523700,6.25
2015-12-23,6.25,6.35,6.1,6.2,334800,6.2
2015-12-24,6.1,6.4,6,6,607000,6
2015-12-25,6,6,6,6,0,6
2015-12-28,6.05,6.25,5.9,6,598000,6
2015-12-29,6.1,6.15,6,6.05,189300,6.05
2015-12-30,6.1,6.7,6,6.15,635700,6.15
2015-12-31,6.2,6.3,6,6.05,845300,6.05
2016-01-01,6.05,6.2,5.95,6,775400,6
2016-01-04,6,6.15,5.9,6,921500,6
2016-01-05,6.05,6.45,6,6,1524400,6
2016-01-06,6,6.25,5.95,6,948500,6
2016-01-07,6,6,5.7,5.85,510400,5.85
2016-01-08,5.95,6.05,5.9,5.95,321900,5.95
2016-01-11,5.95,5.95,5.75,5.9,162200,5.9
2016-01-12,6,6,5.65,5.7,278200,5.7
2016-01-13,5.75,5.9,5.45,5.65,258600,5.65
2016-01-14,5.6,5.6,5,5.4,310000,5.4
2016-01-15,5.4,5.5,5.15,5.2,162000,5.2
2016-01-18,5.5,5.5,4.9,4.95,230600,4.95
2016-01-19,4.9,5.15,4.9,5,425000,5
2016-01-20,5.1,5.25,4.9,5.15,286500,5.15
2016-01-21,5.25,5.3,5,5.2,214400,5.2
2016-01-22,5.3,5.4,5.15,5.25,81700,5.25
2016-01-25,5.2,5.65,5.2,5.5,157600,5.5
2016-01-26,5.5,5.5,5.5,5.5,0,5.5
2016-01-27,5.65,5.65,5.5,5.5,101600,5.5
2016-01-28,5.55,5.75,5.35,5.65,107800,5.65
2016-01-29,5.8,5.8,5.5,5.55,69500,5.55
2016-02-01,5.5,5.8,5.35,5.45,74900,5.45
2016-02-02,5.45,5.6,5.35,5.55,52600,5.55
2016-02-03,5.45,5.7,5.35,5.4,94900,5.4
2016-02-04,5.5,5.7,5,5.5,125600,5.5
2016-02-05,5.4,5.6,5.3,5.45,114700,5.45
2016-02-08,5.5,5.55,5.2,5.3,50500,5.3
2016-02-09,5.4,5.4,5.2,5.25,46400,5.25
2016-02-10,5.3,5.35,5.05,5.15,123900,5.15
2016-02-11,5.25,5.25,4.35,4.7,346200,4.7
2016-02-12,4.9,4.95,4.4,4.8,139000,4.8
2016-02-15,5,5.25,4.8,4.9,147600,4.9
2016-02-16,4.95,5.15,4.85,5,111500,5
2016-02-17,4.9,5,4.85,4.85,134400,4.85
2016-02-18,4.95,5,4.8,4.95,56200,4.95
2016-02-19,4.9,5,4.35,4.45,423200,4.45
2016-02-22,4.75,4.75,4.4,4.5,132600,4.5
2016-02-23,4.45,4.6,4.3,4.4,91500,4.4
2016-02-24,4.45,4.45,4.05,4.25,156000,4.25
2016-02-25,4.5,4.5,4.1,4.4,49700,4.4
2016-02-26,4.5,4.5,4.2,4.25,43800,4.25
2016-02-29,4.4,4.4,4.2,4.35,75000,4.35
2016-03-01,4.4,4.5,4.05,4.35,79200,4.35
2016-03-02,4.55,4.6,4.3,4.45,61100,4.45
2016-03-03,4.55,5.2,4.4,5.1,168900,5.1
2016-03-04,5.15,5.3,4.7,5,116800,5
2016-03-07,5,5,5,5,0,5
2016-03-08,5,5.1,4.9,5.05,51500,5.05
2016-03-09,5.1,5.1,4.9,4.95,34300,4.95
2016-03-10,4.9,5.1,4.85,4.9,68800,4.9
2016-03-11,4.8,5.1,4.8,4.95,65000,4.95
2016-03-14,4.95,5.25,4.95,4.95,76500,4.95
2016-03-15,4.95,5.05,4.6,4.75,146100,4.75
2016-03-16,4.65,4.85,4.6,4.65,102400,4.65
2016-03-17,4.9,5.45,4.6,5.2,503500,5.2
2016-03-18,5.4,5.4,4.85,4.95,126000,4.95
2016-03-21,5.1,5.9,5,5.9,1327500,5.9
2016-03-22,6.45,6.65,6,6.2,1136500,6.2
2016-03-23,6.25,6.35,5.9,6,439100,6
2016-03-24,6,6,6,6,0,6
2016-03-25,6,6,6,6,0,6
2016-03-28,6.1,6.75,5.9,6.4,682100,6.4
2016-03-29,6.45,6.7,5.5,6,380700,6
2016-03-30,6.3,6.5,6.05,6.15,233300,6.15
2016-03-31,6.15,6.35,5.95,6.1,293900,6.1
2016-04-01,6.05,6.3,6.05,6.1,119600,6.1
2016-04-04,6.4,6.4,6,6.2,156200,6.2
2016-04-05,6.2,6.25,5.85,6,183100,6
2016-04-06,6.1,6.55,5.9,6.45,618600,6.45
2016-04-07,6.6,6.6,6.1,6.2,106400,6.2
2016-04-08,6.1,6.35,6.05,6.1,70200,6.1
2016-04-11,6.15,6.2,6,6.05,107300,6.05
2016-04-12,6.2,6.2,5.95,6,144200,6
2016-04-13,6,6.1,5.9,6,244800,6
2016-04-14,6,6,6,6,0,6
2016-04-15,6,6,6,6,0,6
2016-04-18,5.95,6.05,5.9,5.95,75100,5.95
2016-04-19,5.95,5.95,5.95,5.95,0,5.95
2016-04-20,6.2,6.2,5.8,5.95,122000,5.95
2016-04-21,5.9,6,5.8,5.85,98800,5.85
2016-04-22,5.7,5.9,5.7,5.8,121100,5.8
2016-04-25,5.95,5.95,5.75,5.85,39000,5.85
2016-04-26,5.8,5.85,5.55,5.65,143100,5.65
2016-04-27,5.7,5.85,5.6,5.75,78600,5.75
2016-04-28,5.65,5.85,5.6,5.6,83200,5.6
2016-04-29,5.65,5.65,5.4,5.55,111700,5.55
2016-05-02,5.6,5.6,5.3,5.45,68700,5.45
2016-05-03,5.65,6.15,5.55,5.9,255900,5.9
2016-05-04,5.8,5.95,5.7,5.8,28500,5.8
2016-05-05,5.9,6.05,5.55,5.65,74800,5.65
2016-05-06,5.55,5.8,5.55,5.6,27800,5.6
2016-05-09,5.8,5.9,5.6,5.7,46500,5.7
2016-05-10,5.75,5.9,5.65,5.9,70400,5.9
2016-05-11,5.9,5.9,5.7,5.75,26800,5.75
2016-05-12,5.85,6,5.75,5.8,52300,5.8
2016-05-13,6,6,5.65,5.85,34100,5.85
2016-05-16,5.75,5.8,5.5,5.65,59900,5.65
2016-05-17,5.65,5.7,5.5,5.55,87000,5.55
2016-05-18,5.4,5.8,5.4,5.55,47900,5.55
2016-05-19,5.55,5.65,5.45,5.5,39100,5.5
2016-05-20,5.5,5.6,5.2,5.4,125700,5.4
2016-05-23,5.4,5.6,5.25,5.4,27800,5.4
2016-05-24,5.4,5.8,5.25,5.55,124400,5.55
2016-05-25,5.5,5.65,5.45,5.6,24500,5.6
2016-05-26,5.6,5.75,5.45,5.5,51400,5.5
2016-05-27,5.4,5.7,5.4,5.55,38800,5.55
2016-05-30,5.75,5.75,5.45,5.6,59200,5.6
