"Date","HEROMOTOCO.NS.Open","HEROMOTOCO.NS.High","HEROMOTOCO.NS.Low","HEROMOTOCO.NS.Close","HEROMOTOCO.NS.Volume","HEROMOTOCO.NS.Adjusted"
2015-09-18,2378.8,2446.5,2375.15,2428.5,753700,2334.48
2015-09-21,2388.3,2447.8,2388.3,2423.7,239200,2329.86
2015-09-22,2426.25,2449.85,2375.3,2388.95,380600,2296.46
2015-09-23,2379.55,2406.6,2379.55,2400.95,362900,2307.99
2015-09-24,2400,2419.95,2372.6,2381.7,391800,2289.49
2015-09-25,2381.7,2381.7,2381.7,2381.7,0,2289.49
2015-09-28,2383.2,2389.9,2335.8,2349.5,325100,2258.53
2015-09-29,2311,2370.5,2301.6,2329.25,460900,2239.07
2015-09-30,2359,2408.3,2310.5,2394.5,431500,2301.79
2015-10-01,2400,2472.7,2400,2412.05,541500,2318.66
2015-10-02,2412.05,2412.05,2412.05,2412.05,0,2318.66
2015-10-05,2449.9,2517.9,2435,2502,383300,2405.13
2015-10-06,2520,2553,2511,2532.35,295200,2434.3
2015-10-07,2535,2555.5,2495.05,2540.75,202400,2442.38
2015-10-08,2541,2561.75,2523.3,2541.6,146800,2443.2
2015-10-09,2565,2582,2553,2564.85,147700,2465.55
2015-10-12,2567,2596.5,2544,2552.95,98000,2454.11
2015-10-13,2555,2563.6,2525,2538.75,178200,2440.46
2015-10-14,2539.75,2549,2492.8,2500,184200,2403.21
2015-10-15,2513.95,2579.8,2500,2564.05,172400,2464.78
2015-10-16,2570.4,2590,2558.8,2584,137000,2483.95
2015-10-19,2587,2620.2,2555.75,2612.05,183200,2510.92
2015-10-20,2617,2627.85,2586.55,2606.2,369500,2505.3
2015-10-21,2658.9,2667.6,2590,2622.8,643200,2521.25
2015-10-22,2622.8,2622.8,2622.8,2622.8,0,2521.25
2015-10-23,2635.25,2643,2588.1,2596.05,205800,2495.54
2015-10-26,2602.9,2633,2597.6,2620.55,197800,2519.09
2015-10-27,2614.95,2644,2586.7,2620.1,357000,2518.66
2015-10-28,2630,2632.8,2595.25,2626.05,199300,2524.38
2015-10-29,2616.1,2637.3,2603.2,2626.65,265600,2524.95
2015-10-30,2620,2629.6,2563.7,2581.4,341000,2481.46
2015-11-02,2575.2,2584.4,2532.7,2545.85,367200,2447.28
2015-11-03,2556.95,2597,2536.2,2582.75,226400,2482.75
2015-11-04,2600,2634.2,2592,2621.05,223500,2519.57
2015-11-05,2617.85,2658.6,2606.1,2638.7,229100,2536.54
2015-11-06,2642,2674.9,2600.1,2639.85,359000,2537.64
2015-11-09,2605.05,2649.9,2596.1,2614.1,138100,2512.89
2015-11-10,2608,2671,2605.1,2663.7,218300,2560.57
2015-11-11,2663.7,2663.7,2663.7,2663.7,0,2560.57
2015-11-12,2663.7,2663.7,2663.7,2663.7,0,2560.57
2015-11-13,2645,2650,2611,2615.4,155400,2514.14
2015-11-16,2615,2645,2580,2611.7,153400,2510.58
2015-11-17,2603.05,2618.4,2575,2597.95,196100,2497.36
2015-11-18,2590,2604.5,2567.15,2574.85,165500,2475.16
2015-11-19,2618.75,2683.8,2581.45,2589.7,736900,2489.43
2015-11-20,2600,2639,2556.3,2562.85,747600,2463.62
2015-11-23,2572,2667,2572,2636.65,724300,2534.57
2015-11-24,2641,2666.8,2629,2645.35,397300,2542.93
2015-11-25,2645.35,2645.35,2645.35,2645.35,0,2542.93
2015-11-26,2610,2710,2610,2688.7,1400100,2584.6
2015-11-27,2688,2714.4,2658.95,2704.45,300700,2599.74
2015-11-30,2712.45,2734.3,2684.15,2699.15,604300,2594.65
2015-12-01,2716,2717.55,2670.2,2678.4,439700,2574.7
2015-12-02,2664.9,2701.8,2654.5,2676.45,552500,2572.83
2015-12-03,2680.55,2684,2611.2,2617.8,395300,2516.45
2015-12-04,2613,2634.35,2603.15,2617.8,223700,2516.45
2015-12-07,2634.7,2663.1,2609.4,2623.05,667000,2521.49
2015-12-08,2615,2640,2585.65,2601.9,231400,2501.16
2015-12-09,2599.95,2604.85,2536,2546.4,247200,2447.81
2015-12-10,2566.6,2574,2538.15,2548.35,295500,2449.69
2015-12-11,2550,2563.8,2516.65,2525.15,303900,2427.38
2015-12-14,2519.8,2555,2500.45,2535.75,178800,2437.57
2015-12-15,2540,2579,2508,2567.8,203900,2468.38
2015-12-16,2570.1,2615.35,2570.1,2595.4,241700,2494.91
2015-12-17,2600,2667,2600,2654.95,254100,2552.16
2015-12-18,2650,2664.9,2625.75,2643.15,237800,2540.81
2015-12-21,2665,2705,2637.9,2697.95,351800,2593.49
2015-12-22,2697.95,2701,2662.8,2670.35,299000,2566.96
2015-12-23,2675.4,2694.6,2664.9,2678.2,173600,2574.51
2015-12-24,2678.35,2702.7,2678.35,2696.4,187100,2592
2015-12-25,2696.4,2696.4,2696.4,2696.4,0,2592
2015-12-28,2707,2713.5,2683.5,2709.4,327000,2604.5
2015-12-29,2707,2738,2700.55,2731.9,283300,2626.13
2015-12-30,2732,2732.95,2709.35,2712.95,196000,2607.91
2015-12-31,2717.95,2722.95,2671,2694.1,913200,2589.79
2016-01-01,2689,2695,2675.2,2686.05,141500,2582.05
2016-01-04,2652,2669,2631.1,2637.8,254100,2535.67
2016-01-05,2642.5,2655.2,2610.05,2616.85,290000,2515.53
2016-01-06,2604.2,2623,2572.95,2578.2,307000,2478.38
2016-01-07,2556.9,2592,2510.05,2520.1,186900,2422.53
2016-01-08,2525.1,2538.35,2485,2489.65,198600,2393.26
2016-01-11,2475.15,2525,2450.2,2505.45,168500,2408.45
2016-01-12,2500,2510.1,2461.4,2467.2,228300,2371.68
2016-01-13,2480.25,2485,2420.7,2473.7,237700,2377.93
2016-01-14,2444,2474.05,2418,2437.55,312000,2343.18
2016-01-15,2445,2454.95,2410.2,2427.75,177100,2333.75
2016-01-18,2438,2450,2377.15,2435.55,285700,2341.25
2016-01-19,2455,2498.95,2446.85,2482.8,232000,2386.67
2016-01-20,2469,2507,2455.75,2488.5,349900,2392.15
2016-01-21,2484.1,2539.95,2462.5,2469.9,462800,2374.27
2016-01-22,2494,2599,2472.55,2591.5,342100,2491.16
2016-01-25,2605,2610,2493.1,2525.2,235400,2427.43
2016-01-26,2525.2,2525.2,2525.2,2525.2,0,2427.43
2016-01-27,2535,2548.05,2475,2482.45,318300,2386.34
2016-01-28,2485,2508,2431.1,2439.6,373000,2345.15
2016-01-29,2449,2585,2442.5,2565.65,494900,2466.32
2016-02-01,2560,2560,2507.25,2535.6,246000,2437.43
2016-02-02,2541.6,2550.75,2508.6,2518.3,234200,2420.8
2016-02-03,2500,2542.8,2471,2484.85,177200,2388.64
2016-02-04,2490.25,2528.25,2472,2513.8,247400,2416.47
2016-02-05,2513.8,2589,2505,2584.75,208800,2484.68
2016-02-08,2580,2586,2553.6,2568.3,200800,2468.86
2016-02-09,2538,2596,2515,2581.35,120800,2481.41
2016-02-10,2576.9,2578.35,2545,2555.6,177400,2456.65
2016-02-11,2556.8,2562.45,2480.95,2496.9,181600,2400.23
2016-02-12,2537.95,2537.95,2453.1,2489.25,401200,2392.87
2016-02-15,2512,2539.45,2483.9,2507.35,419100,2410.27
2016-02-16,2521,2567,2503.8,2512.5,248500,2415.22
2016-02-17,2511,2545,2438,2524.55,303500,2426.81
2016-02-18,2536,2627.8,2520,2617.75,438500,2516.4
2016-02-19,2617,2710.5,2602.65,2706.2,724700,2601.42
2016-02-22,2699,2728.8,2674.4,2702.55,273700,2597.92
2016-02-23,2711,2712.6,2652.15,2661.15,305400,2558.12
2016-02-24,2657.1,2658,2610,2621.25,219500,2519.76
2016-02-25,2620,2642.35,2594.3,2621.35,293300,2519.86
2016-02-26,2635.95,2649.95,2531.65,2555.4,455700,2456.46
2016-02-29,2546,2564.9,2471.1,2499.9,733800,2403.11
2016-03-01,2513,2681.85,2506.2,2667.25,865400,2563.98
2016-03-02,2715,2859,2705.1,2806.7,1278700,2698.03
2016-03-03,2806.7,2849,2800,2826,837400,2716.59
2016-03-04,2805.25,2855,2788.2,2835.85,516900,2726.05
2016-03-07,2835.85,2835.85,2835.85,2835.85,0,2726.05
2016-03-08,2840,2840,2800.5,2809.55,424300,2700.77
2016-03-09,2795,2829.95,2790.05,2816.5,398000,2707.45
2016-03-10,2840,2850,2800,2812.4,345300,2703.51
2016-03-11,2795.55,2838.95,2795.55,2813.35,269700,2704.43
2016-03-14,2836,2836,2800.8,2816.3,394200,2707.26
2016-03-15,2819.95,2837.8,2806.35,2813.05,334100,2704.14
2016-03-16,2802,2835.95,2762.5,2798.3,368100,2689.96
2016-03-17,2815.1,2839,2805,2821.1,247000,2711.88
2016-03-18,2828.9,2839,2793.15,2831,296800,2721.39
2016-03-21,2804.5,2822.85,2776.95,2799.6,237600,2729.78
2016-03-22,2799.6,2869.6,2752.3,2861.5,837200,2790.13
2016-03-23,2875,2914.7,2864.25,2871.4,497200,2799.79
2016-03-24,2871.4,2871.4,2871.4,2871.4,0,2799.79
2016-03-25,2871.4,2871.4,2871.4,2871.4,0,2799.79
2016-03-28,2855,2890,2832,2848,453000,2776.97
2016-03-29,2847,2880,2843.05,2856.85,222100,2785.6
2016-03-30,2869.95,2928.7,2869.95,2923.8,493200,2850.88
2016-03-31,2920.5,2985.95,2919.6,2945.7,1174100,2872.23
2016-04-01,2931.1,2969.45,2923,2951.05,348100,2877.45
2016-04-04,2988,2988,2946,2983.7,421600,2909.29
2016-04-05,2960.25,3013,2949.95,2963.3,544700,2889.39
2016-04-06,2964,3009,2963.2,2991.25,400600,2916.65
2016-04-07,2980.4,2987.45,2941,2968,222700,2893.98
2016-04-08,2966.8,2966.8,2881.7,2915.7,437400,2842.98
2016-04-11,2923,2982,2908.4,2976.55,284000,2902.31
2016-04-12,2981.7,3065,2980,3051.45,375300,2975.35
2016-04-13,3041.45,3172,3036.5,3148.05,679300,3069.54
2016-04-14,3148.05,3148.05,3148.05,3148.05,0,3069.54
2016-04-15,3148.05,3148.05,3148.05,3148.05,0,3069.54
2016-04-18,3154.95,3159.8,3045.2,3054.5,533600,2978.32
2016-04-19,3054.5,3054.5,3054.5,3054.5,0,2978.32
2016-04-20,3060,3079.4,3002.5,3039.1,461600,2963.3
2016-04-21,3079.1,3079.1,2978.45,2986.3,239900,2911.82
2016-04-22,2970,3024.35,2952,2997.05,437800,2922.3
2016-04-25,2991,3023.5,2957.2,2961.8,306100,2887.93
2016-04-26,2950,2964.7,2915.9,2931.85,711600,2858.73
2016-04-27,2934.9,2964.3,2932.3,2949.9,612700,2876.33
2016-04-28,2952.8,2952.8,2887.35,2899.65,599400,2827.33
2016-04-29,2852,2915,2852,2897.4,327900,2825.14
2016-05-02,2893,2930.05,2886,2904.35,907400,2831.91
2016-05-03,2960,2960.05,2862.05,2885.45,513000,2813.49
2016-05-04,2887.5,2915.3,2880.05,2894.45,200300,2822.26
2016-05-05,2918,2950,2876.35,2893.75,575300,2821.58
2016-05-06,2905,2905,2820.35,2890.3,565100,2818.22
2016-05-09,2890,2950,2882.05,2943.65,463100,2870.23
2016-05-10,2942,2968.95,2931,2957.8,624300,2884.03
2016-05-11,2930,2980,2920.05,2961.55,444000,2887.69
2016-05-12,2967.95,2976.8,2947.45,2951,321600,2877.4
2016-05-13,2939.2,2947.9,2893,2912.6,258700,2839.96
2016-05-16,2910,2910,2868.55,2900.6,201500,2828.26
2016-05-17,2915.7,2959,2904.95,2932.45,337200,2859.31
2016-05-18,2912.05,2915,2859.55,2878.45,329200,2806.66
2016-05-19,2880.85,2912.3,2867.95,2891.3,270700,2819.19
2016-05-20,2897,2910,2871.35,2896.7,210700,2824.46
2016-05-23,2902,2904.7,2869,2887.55,434700,2815.53
2016-05-24,2884.7,2907,2876.25,2899.4,326800,2827.09
2016-05-25,2940,2940,2905.15,2927.25,207800,2854.24
2016-05-26,2929.95,2989,2916,2962.2,947800,2888.32
2016-05-27,2962.05,3010.05,2962,3002.5,4e+05,2927.62
2016-05-30,3011,3107.5,3003,3097.5,505300,3020.25
2016-05-31,3116,3129,3069,3098.9,454600,3021.61
2016-06-01,3123.7,3132.55,3070.7,3089.1,668200,3012.06
2016-06-02,3070,3149,3060,3144.3,647500,3065.88
2016-06-03,3147.95,3211.15,3100.7,3146.2,471600,3067.73
2016-06-06,3112.7,3154,3094.05,3113.25,295800,3035.6
2016-06-07,3121,3148.2,3110,3129.7,186700,3051.64
2016-06-08,3129.5,3179.5,3109.1,3170.1,279300,3091.04
2016-06-09,3165,3166.95,3074,3086.7,231400,3009.72
2016-06-10,3060,3114.05,3058.05,3069.5,424000,2992.95
2016-06-13,3040,3059,3017,3036.45,466900,2960.72
2016-06-14,3040,3040,2997.3,3005.8,271100,2930.83
2016-06-15,3016.25,3088.8,3016.25,3064,490200,2987.58
2016-06-16,3055,3059.95,3012.4,3020.75,213100,2945.41
2016-06-17,3032.9,3055,3016.25,3030.4,189300,2954.82
2016-06-20,3020,3092,3007.05,3045.65,310700,2969.69
2016-06-21,3045.65,3074,3035.05,3053.05,256700,2976.91
2016-06-22,3059,3079,3024,3074.6,269600,2997.92
2016-06-23,3074,3082.25,3036.1,3063.4,147800,2987
2016-06-24,3000,3076.4,2954.55,3058.75,272500,2982.46
2016-06-27,3023,3083.45,3023,3052,241800,2975.88
2016-06-28,3065.1,3074,3013.5,3020.4,258200,2945.07
2016-06-29,3034.95,3164.4,3034.95,3156.55,482300,3077.82
2016-06-30,3155.05,3226,3139.95,3178.25,779600,3098.98
2016-07-01,3188.7,3198,3160,3186.05,220500,3106.59
2016-07-04,3189.95,3189.95,3143.35,3159.8,154700,3080.99
2016-07-05,3154.15,3159.75,3104.05,3111.1,198300,3033.51
2016-07-06,3111.1,3111.1,3111.1,3111.1,0,3033.51
2016-07-07,3124,3136.55,3095,3102.7,187400,3025.32
2016-07-08,3115,3179,3113.1,3167.8,263600,3088.79
2016-07-11,3192.5,3250,3190.1,3244.55,273800,3163.63
2016-07-12,3220,3257.05,3220,3248.25,152700,3167.24
2016-07-13,3260,3264.95,3220,3245.9,255600,3164.95
2016-07-14,3233.5,3276.4,3208,3261,340900,3179.67
2016-07-15,3246,3293.65,3230.1,3244.1,449400,3163.19
2016-07-18,3253.3,3295,3240,3249.7,331500,3168.65
2016-07-19,3260,3265.4,3208.15,3231.2,215800,3150.61
