"Date","JINDALSTEL.NS.Open","JINDALSTEL.NS.High","JINDALSTEL.NS.Low","JINDALSTEL.NS.Close","JINDALSTEL.NS.Volume","JINDALSTEL.NS.Adjusted"
2015-03-19,176,177.14999,171.55,173.89999,7347700,173.89999
2015-03-20,174.10001,175.2,162.14999,164.55,8832100,164.55
2015-03-23,150,156.39999,140,154.39999,28075400,154.39999
2015-03-24,159.45,160.05,154.10001,156.64999,9496600,156.64999
2015-03-25,155.8,156.5,152.25,153,5454200,153
2015-03-26,151.89999,153.64999,149.8,150.25,13358700,150.25
2015-03-27,159,159.85001,154.35001,157.2,8747600,157.2
2015-03-30,159.89999,160.45,154,155.7,5125100,155.7
2015-03-31,159.7,161.5,155.2,156.8,6887400,156.8
2015-04-01,156.7,157.3,154.5,155.55,2562500,155.55
2015-04-02,155.55,155.55,155.55,155.55,0,155.55
2015-04-03,155.55,155.55,155.55,155.55,0,155.55
2015-04-06,155.5,156.60001,152.64999,154.3,3232800,154.3
2015-04-07,154.45,169.60001,153.45,165.5,11597700,165.5
2015-04-08,166.5,168.05,162.60001,163.85001,4929500,163.85001
2015-04-09,164.5,164.5,159.05,161,4463300,161
2015-04-10,161.60001,162.89999,156.2,157.45,6287400,157.45
2015-04-13,156.89999,164.89999,154.7,158.25,7549500,158.25
2015-04-14,158.25,158.25,158.25,158.25,0,158.25
2015-04-15,158.25,161.55,157.3,158.35001,2793700,158.35001
2015-04-16,159,163.5,155.85001,157.45,4302700,157.45
2015-04-17,161.5,161.8,158.39999,159.2,3669200,159.2
2015-04-20,159.2,161.7,152.7,154.85001,4302600,154.85001
2015-04-21,155,157.3,151.35001,152.35001,3570600,152.35001
2015-04-22,153,155.14999,148.5,152.75,4294700,152.75
2015-04-23,153.95,156.60001,152.55,154.05,3772200,154.05
2015-04-24,153.64999,154.7,146.75,148.39999,3041000,148.39999
2015-04-27,149.39999,150.89999,145,145.8,4121100,145.8
2015-04-28,146.35001,147.8,141.89999,143.3,5752800,143.3
