"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2015-03-30,235,239.9,232.2,238.75,3032100,235.565
2015-03-31,239.95,242,233,235.35,3955700,232.21
2015-04-01,235.8,236,229.6,230.7,3346000,227.622
2015-04-02,230.7,230.7,230.7,230.7,0,227.622
2015-04-03,230.7,230.7,230.7,230.7,0,227.622
2015-04-06,230.35,238.4,227.6,235.1,4865600,231.963
2015-04-07,232.5,235.25,228.7,233.5,2964400,230.385
2015-04-08,235,239.4,234,235.9,3498200,232.753
2015-04-09,236.55,238.05,230.5,232.65,2387500,229.546
2015-04-10,233.3,237.3,232.3,234.6,2245000,231.47
2015-04-13,235,244.45,235,242.65,4011000,239.413
2015-04-14,242.65,242.65,242.65,242.65,0,239.413
2015-04-15,242,243.8,230.3,232.4,4093600,229.299
2015-04-16,233.05,234.85,229.2,232,2535600,228.905
2015-04-17,231.7,237,231.05,234.85,2421800,231.717
2015-04-20,236.6,236.6,225.2,229.9,2090600,226.833
2015-04-21,229.9,233.35,226,227,2931900,223.971
2015-04-22,227.1,231.8,222.55,230.8,3454600,227.721
2015-04-23,233.3,234.85,230.5,233.3,2097900,230.187
2015-04-24,234.3,235.65,231.25,234,2854800,230.878
2015-04-27,235.6,235.9,225.1,226.3,2625600,223.281
2015-04-28,226.5,238.6,224.7,232.95,4002200,229.842
2015-04-29,232.8,234.9,229.05,232.15,1879800,229.053
2015-04-30,231.5,243.2,225.6,238.05,7090200,234.874
2015-05-01,238.05,238.05,238.05,238.05,0,234.874
2015-05-04,240.9,247,238.25,245.15,2833000,241.879
2015-05-05,245.5,249,242,245.15,2341000,241.879
2015-05-06,243.5,244,228.85,229.7,3148100,226.635
2015-05-07,228,233.1,224.1,228.7,2840000,225.649
2015-05-08,231.75,233.85,230,231.35,1465000,228.263
2015-05-11,232.2,238.4,227.9,234.7,3102500,231.569
2015-05-12,234.7,234.8,221.55,222.6,3409100,219.63
2015-05-13,224.5,228.5,222.1,227.75,2703000,224.711
2015-05-14,227.7,230.9,223.75,230,3076500,226.931
2015-05-15,230.4,233.9,227.1,230.95,1749400,227.869
2015-05-18,231,235,229.4,234.55,1517000,231.421
2015-05-19,234,239.95,232.4,235.15,2413700,232.013
2015-05-20,235.2,237.7,229.2,231.15,2296300,228.066
2015-05-21,231.15,233.45,227.6,232.45,2266700,229.349
2015-05-22,232.9,235.65,230.5,234,1598100,230.878
2015-05-25,233.05,237.35,229.3,234.15,2807900,231.026
2015-05-26,231.25,246.85,230.15,241.45,8724800,238.229
2015-05-27,240,252.8,239,249.85,6863100,246.516
2015-05-28,250,254.95,246.1,252.7,7235600,249.328
2015-05-29,250.5,258,247.45,251.65,4801900,248.292
2015-06-01,251.1,256.65,250.5,254.05,2700800,250.66
2015-06-02,255.8,257.5,248.75,251.1,3542900,247.75
2015-06-03,253.1,255.3,240.7,245.85,3704100,242.57
2015-06-04,246.9,249.7,242.1,248,1897600,244.691
2015-06-05,247.05,252,245.15,246.75,2201900,243.458
2015-06-08,246,246.35,241.25,243.05,1545100,239.807
2015-06-09,241.2,245.7,240.1,241.35,1844700,238.13
