"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2015-04-30,180.5,180.9,169,171.55,6414300,166.01
2015-05-01,171.55,171.55,171.55,171.55,0,166.01
2015-05-04,171.5,171.5,159.5,161.9,9793700,156.67
2015-05-05,161.9,164.45,161.1,161.9,2710500,156.67
2015-05-06,161.9,163.4,154.75,155.2,2461100,150.19
2015-05-07,154.75,154.75,150,151.25,3196400,146.37
2015-05-08,152.35,154.7,152.2,153.35,1491300,148.4
2015-05-11,154.3,160.15,151.9,157.6,4450400,152.51
2015-05-12,157,157.25,150,151.5,3578300,146.61
2015-05-13,151,154.3,150.5,152.25,2355500,147.34
2015-05-14,152.5,156.15,150.65,154.95,2147500,149.95
2015-05-15,157,159.5,156.05,158.25,3330000,153.14
2015-05-18,158.85,160.25,156.45,159.6,1365800,154.45
2015-05-19,159.5,162,158.05,158.8,1573000,153.67
2015-05-20,159.4,160.3,157.55,158.95,1218700,153.82
2015-05-21,158.4,159.25,156.2,157.15,1060800,152.08
2015-05-22,157.35,159.6,156.35,159,1630000,153.87
2015-05-25,158.85,161.2,156.85,158.9,1357000,153.77
2015-05-26,158.9,159.5,156.85,157.2,864600,152.13
2015-05-27,156,156.7,153.75,155,1954600,150
2015-05-28,155.7,156.55,152.8,154,1740600,149.03
2015-05-29,153.8,155.6,150.15,153.7,4393400,148.74
2015-06-01,154.35,156.95,153,154.2,1149600,149.22
2015-06-02,154.2,154.85,149.2,150.85,1272200,145.98
2015-06-03,150.05,150.4,144.55,146.1,2006700,141.38
2015-06-04,147.1,149.25,145.35,148.75,790200,143.95
2015-06-05,147.75,149.8,147,148.35,732100,143.56
2015-06-08,148.4,148.4,144.2,144.9,1235700,140.22
2015-06-09,145.8,146.4,144,144.75,923600,140.08
2015-06-10,144.7,146.2,143.9,144.7,1304500,140.03
2015-06-11,145.15,146.4,142,142.8,1846100,138.19
2015-06-12,142.5,144.15,139.8,142,1167200,137.42
