"Date","UBL.NS.Open","UBL.NS.High","UBL.NS.Low","UBL.NS.Close","UBL.NS.Volume","UBL.NS.Adjusted"
2015-05-06,973,1009,941.1,955.05,272200,952.6
2015-05-07,953.75,964,911,925.65,130300,923.27
2015-05-08,925,970,902.95,926.3,350100,923.92
2015-05-11,930,950.7,927.3,944.2,128300,941.78
2015-05-12,930,949.9,906.05,921.45,118300,919.08
2015-05-13,917.05,932.95,895,905.6,348000,903.28
2015-05-14,914,944,905.6,933.85,210600,931.45
2015-05-15,936,958.6,933.05,954.15,222800,951.7
2015-05-18,952,969.4,950.55,965.95,164500,963.47
2015-05-19,966,980,955.05,966.2,111000,963.72
2015-05-20,967,1014.2,967,1007.3,281800,1004.71
2015-05-21,1003.2,1029.9,1003.2,1013.65,232700,1011.05
2015-05-22,1014.05,1024,990.9,996.4,116600,993.84
2015-05-25,1004,1006,972.75,982.15,116900,979.63
2015-05-26,993.9,993.9,975,985.75,149900,983.22
2015-05-27,977.1,980,952.75,961.05,135100,958.58
2015-05-28,964.9,965.95,922.5,952.2,251400,949.76
2015-05-29,952,973,947.45,953.25,325500,950.8
2015-06-01,955,970,930.65,954.05,197600,951.6
2015-06-02,960.9,961.9,930,935.1,114400,932.7
2015-06-03,932,955,882.3,922.6,149100,920.23
2015-06-04,932.05,938.95,900.35,918.25,75700,915.89
2015-06-05,925,953,919.65,924.3,52500,921.93
2015-06-08,924,930,895,900.5,86900,898.19
2015-06-09,895,917,895,898.7,98600,896.39
2015-06-10,904.9,919,895,909.4,99200,907.07
2015-06-11,918,930.4,890,894.55,124600,892.25
2015-06-12,900,900,880.6,891.35,204400,889.06
2015-06-15,891,909,885,895.15,100900,892.85
2015-06-16,889,915,851.4,876.95,169100,874.7
2015-06-17,886.95,904.05,882.5,895.45,104700,893.15
2015-06-18,897,907.8,885.35,901.45,92900,899.14
2015-06-19,911.9,913,887,894.5,269500,892.2
2015-06-22,899.9,912,880.75,909.45,186300,907.12
2015-06-23,906,914.95,890,898.25,129800,895.94
2015-06-24,904,910.5,892.5,901.45,99800,899.14
2015-06-25,902.9,916,893,908.3,231500,905.97
2015-06-26,907.95,909.95,892,895.65,57700,893.35
2015-06-29,885,890.9,856.8,879.15,105400,876.89
2015-06-30,879,945,874.2,934.25,382400,931.85
2015-07-01,935,942.95,914.15,922.45,174900,920.08
2015-07-02,928,953.4,926.5,935.4,293600,933
2015-07-03,934,1044.7,933.65,1019.25,823300,1016.63
2015-07-06,1010,1037.7,992,1025.2,344800,1022.57
2015-07-07,1030,1061.9,999.1,1013.7,892800,1011.1
2015-07-08,1024.9,1039.95,1001.95,1010,328200,1007.41
2015-07-09,1018,1024.9,978.1,982.55,263600,980.03
2015-07-10,989.8,996.95,970,987.65,240100,985.11
2015-07-13,993.95,1009,977.6,998.75,139600,996.19
2015-07-14,1003.55,1023.65,990.05,1010.4,242500,1007.81
2015-07-15,1005.05,1026.35,1000,1012.65,154900,1010.05
2015-07-16,1016,1030,1012.75,1023.3,117000,1020.67
2015-07-17,1025,1029.9,1003.1,1014.6,105500,1012
2015-07-20,1015,1040,1012.1,1028.55,146000,1025.91
2015-07-21,1027,1036.65,988.9,992.05,94300,989.5
2015-07-22,997,1016.1,981,1009.3,104900,1006.71
2015-07-23,996.8,1024,962.8,998.25,151600,995.69
2015-07-24,1007,1025,999.55,1010.9,115900,1008.3
2015-07-27,1010,1043.4,1000,1025.1,198500,1022.47
2015-07-28,1030,1054,1009.7,1014.45,209600,1011.85
2015-07-29,1021.95,1044.65,1015,1033.3,151300,1030.65
2015-07-30,1042,1045,1024.15,1029.7,107400,1027.06
2015-07-31,1032.8,1071.95,1032.8,1056.2,287500,1053.49
2015-08-03,1056.2,1074.95,1041,1051.65,187700,1048.95
2015-08-04,1051.65,1055.25,1016.8,1033.35,111600,1030.7
2015-08-05,1035,1050,1030,1041.3,116900,1038.63
2015-08-06,1042,1054,1032.95,1038.8,103500,1036.13
2015-08-07,1038.8,1066,1022.15,1029.9,139600,1027.26
2015-08-10,1035,1043.8,1000,1008.95,94000,1006.36
2015-08-11,1013,1022.1,989.75,993.3,125300,990.75
2015-08-12,990.05,999,972.95,977.7,98800,975.19
2015-08-13,977.5,1011,963,974.55,117500,972.05
2015-08-14,985,989.2,953,961.75,170700,959.28
2015-08-17,972,972,934.05,950.95,111400,948.51
2015-08-18,951.2,972,937.35,940.95,98900,938.53
2015-08-19,949,974,942.25,962.9,102400,960.43
2015-08-20,965,980,911,917.45,143600,915.09
2015-08-21,917,964.7,878.35,929.35,206000,926.96
2015-08-24,899.95,920,789.95,823.75,226600,821.64
2015-08-25,872,889,809.55,853.9,319500,851.71
2015-08-26,857,874,830,839.95,144100,837.79
2015-08-27,862.6,890.9,856,876.1,177200,873.85
2015-08-28,886.65,917.6,858.6,864.4,174600,862.18
2015-08-31,873,884,850,854.85,328500,852.66
2015-09-01,860,940.3,850.6,886,946100,883.73
2015-09-02,890.9,903.2,842,847.25,340100,845.07
