"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-03-31,436,440.4,429,433.8,1640000,417.76
2015-04-01,433.5,444,429.5,442.4,1041200,426.04
2015-04-02,442.4,442.4,442.4,442.4,0,426.04
2015-04-03,442.4,442.4,442.4,442.4,0,426.04
2015-04-06,436.2,437.5,421,431.4,2346300,415.45
2015-04-07,435,445.2,426.3,443.15,2054600,426.77
2015-04-08,444.9,460.5,439.55,453.95,2240500,437.17
2015-04-09,457.4,459.9,448,455.6,1653200,438.76
2015-04-10,455,482.95,451.1,474.15,3293500,456.62
2015-04-13,475,478.5,466.1,471.85,1824100,454.41
2015-04-14,471.85,471.85,471.85,471.85,0,454.41
2015-04-15,473.6,481,460.2,464.2,2047200,447.04
2015-04-16,463,465,450.2,454.95,1762500,438.13
2015-04-17,454.8,464.35,450.3,453.25,1649800,436.49
2015-04-20,455,456.3,430,431.55,1623200,415.6
2015-04-21,430.9,435.85,421.95,424,2167700,408.32
2015-04-22,427,433.8,420.6,431.9,2239100,415.93
2015-04-23,434.1,437.1,423.85,425.7,1826000,409.96
2015-04-24,426.8,430.8,422.35,426.1,1856500,410.35
2015-04-27,428.9,429.3,408,410.55,1436300,395.37
2015-04-28,409.7,421.9,405.2,418.9,1770400,403.41
2015-04-29,418,418.8,409.6,412.25,1243200,397.01
2015-04-30,410,417.45,407.05,414.5,2477000,399.18
2015-05-01,414.5,414.5,414.5,414.5,0,399.18
2015-05-04,417.9,435.95,415.05,434.9,1673200,418.82
2015-05-05,437,447.4,434.4,442.9,2307900,426.53
2015-05-06,440.7,444,408.3,411.3,2406500,396.09
2015-05-07,409.8,411,392.1,396.4,1879600,381.74
2015-05-08,401.45,409.8,398.1,404.45,1782900,389.5
2015-05-11,406.7,415,405.5,412.85,1790800,397.59
2015-05-12,410.75,411,399.35,402.05,2767700,387.19
2015-05-13,399.4,426.6,398,422.8,3622400,407.17
2015-05-14,419.15,439.5,412.25,434.45,2871700,418.39
2015-05-15,435,441.8,428.6,435.2,1663800,419.11
2015-05-18,435,443.55,429.1,440.7,1773800,424.41
2015-05-19,439,459.65,436,457.35,2093600,440.44
2015-05-20,457,460.6,446.9,452.8,2506200,436.06
2015-05-21,454,454.7,443.7,448.05,1842100,431.49
2015-05-22,448.8,455,440.65,446.6,1974300,430.09
2015-05-25,446.4,448.8,430.2,432.45,1781600,416.46
2015-05-26,433.9,435.95,425.3,427.45,2116800,411.65
2015-05-27,424,429.3,417.7,421.3,2308300,405.72
2015-05-28,428.4,429.9,410.5,416.7,2892300,401.29
