"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2015-04-16,25.8,25.9,24.5,24.75,21960600,24.75
2015-04-17,24.55,25.05,24.5,24.6,11830600,24.6
2015-04-20,24.65,24.9,24,24.1,15606800,24.1
2015-04-21,24.1,24.55,24.05,24.1,8274600,24.1
2015-04-22,24.4,24.65,23.75,24.45,13795900,24.45
2015-04-23,24.6,24.8,24.1,24.45,11853200,24.45
2015-04-24,24.45,24.5,22.6,22.9,24033900,22.9
2015-04-27,23,23.1,20.95,21.1,26361600,21.1
2015-04-28,21.2,21.35,20.2,20.7,33105800,20.7
2015-04-29,20.85,21.2,20.4,20.55,24353100,20.55
2015-04-30,20.6,20.9,20.15,20.6,33673800,20.6
2015-05-01,20.6,20.6,20.6,20.6,0,20.6
2015-05-04,21,21.4,20.9,21.15,16573300,21.15
2015-05-05,21.3,21.45,20.65,20.9,15396700,20.9
2015-05-06,20.9,20.95,19.6,19.75,22903500,19.75
2015-05-07,19.55,19.9,18.35,18.8,24277600,18.8
2015-05-08,19,19.65,18.9,19.3,14081200,19.3
2015-05-11,19.4,19.85,19.1,19.65,13997400,19.65
2015-05-12,19.6,19.7,18.55,18.65,18557900,18.65
2015-05-13,19,19.15,18.35,19,18254600,19
2015-05-14,19,19.9,18.6,19.55,19290700,19.55
2015-05-15,19.75,19.75,18.8,19.15,12945900,19.15
2015-05-18,19.2,19.35,18.75,18.95,13344900,18.95
2015-05-19,19.05,19.25,18.15,18.45,19723300,18.45
2015-05-20,18.4,18.85,18.1,18.5,20580900,18.5
2015-05-21,18.65,18.65,17.95,18.25,13437400,18.25
2015-05-22,18.25,18.35,17.65,17.8,15661500,17.8
2015-05-25,17.75,18.3,17.55,17.85,16173500,17.85
2015-05-26,17.85,18.05,17.55,17.75,10802100,17.75
2015-05-27,17.7,18,17.4,17.75,13766400,17.75
2015-05-28,17.85,17.95,17.55,17.7,23017400,17.7
2015-05-29,17.7,18.6,17.6,18,24597400,18
2015-06-01,17.5,18.1,17.5,17.6,17175300,17.6
2015-06-02,17.6,17.65,16.35,16.45,26284900,16.45
2015-06-03,16.6,16.6,11.15,13.05,112349500,13.05
2015-06-04,13.2,14,12.6,13.1,44548800,13.1
2015-06-05,13,13.15,11.95,12.45,30236800,12.45
2015-06-08,12.55,12.75,12.05,12.3,16327400,12.3
2015-06-09,12.2,12.4,11.65,11.85,16687000,11.85
2015-06-10,11.95,12.2,10.95,11.9,32833900,11.9
2015-06-11,11.95,12.1,11.2,11.35,24080200,11.35
2015-06-12,11.35,11.5,10.15,10.75,42420500,10.75
2015-06-15,10.75,12.2,10.5,11.75,45405500,11.75
2015-06-16,11.75,11.85,11.05,11.55,25952900,11.55
2015-06-17,11.55,11.95,11.45,11.55,17988500,11.55
2015-06-18,11.7,11.9,11.55,11.8,13395600,11.8
2015-06-19,11.9,12.6,11.8,12.4,40505300,12.4
2015-06-22,12.85,13.3,12.6,13.1,29496000,13.1
2015-06-23,13.05,13.15,12.4,12.45,26827600,12.45
2015-06-24,12.45,12.65,11.65,11.75,30096500,11.75
2015-06-25,11.7,11.95,11,11.75,46274500,11.75
2015-06-26,11.65,11.8,11.1,11.4,40109900,11.4
2015-06-29,11.1,11.3,10.75,11.15,23062800,11.15
2015-06-30,11.1,11.35,10.8,11.15,23123700,11.15
2015-07-01,11.2,11.6,11.15,11.4,21377400,11.4
2015-07-02,11.5,11.7,11.2,11.25,22013000,11.25
2015-07-03,11.2,11.55,11,11.1,19269200,11.1
2015-07-06,11,11.35,10.65,11.2,19776700,11.2
2015-07-07,11.25,12,11.15,11.85,31089300,11.85
2015-07-08,11.6,11.8,11,11.1,42916900,11.1
2015-07-09,11.25,11.5,10.95,11.2,25467600,11.2
2015-07-10,11.3,11.45,11.15,11.25,15919700,11.25
2015-07-13,11.4,11.6,11.3,11.5,14985100,11.5
2015-07-14,11.6,12.55,11.4,12.15,60948500,12.15
2015-07-15,12.05,12.1,11.55,11.65,25846500,11.65
2015-07-16,11.7,12.15,11.55,11.85,16184500,11.85
2015-07-17,11.9,12.1,11.7,11.9,18196800,11.9
2015-07-20,11.9,12,11.45,11.7,16278600,11.7
2015-07-21,11.8,11.8,11.2,11.3,11652300,11.3
2015-07-22,11.15,11.7,11.15,11.5,12557300,11.5
2015-07-23,11.5,11.7,11.3,11.6,9579600,11.6
2015-07-24,11.55,11.65,10.15,10.5,53562900,10.5
2015-07-27,10.5,10.65,9.9,10,35590500,10
2015-07-28,10.05,10.15,9.3,9.35,36732100,9.35
2015-07-29,9.5,9.5,8.7,8.85,32053200,8.85
2015-07-30,9,9.9,8.75,9.6,46713200,9.6
2015-07-31,9.6,10,9.5,9.6,23876300,9.6
2015-08-03,9.6,11.5,9.55,11.4,62079800,11.4
2015-08-04,11.55,11.6,10.8,11.15,32745800,11.15
2015-08-05,11.2,11.95,11.05,11.7,34845600,11.7
2015-08-06,11.55,12.05,11.15,11.9,47183400,11.9
2015-08-07,11.95,12.65,11.5,11.9,44546600,11.9
2015-08-10,11.35,11.85,10.85,11.05,35930400,11.05
2015-08-11,11.05,11.15,10.6,10.9,31046800,10.9
2015-08-12,10.85,11.15,10.45,10.55,26828300,10.55
2015-08-13,10.65,10.9,9.85,9.95,26168700,9.95
2015-08-14,10.25,10.5,9.85,10.3,19936300,10.3
2015-08-17,10.35,10.4,9.9,10.2,19895600,10.2
2015-08-18,10.25,10.4,9.85,10,28240400,10
2015-08-19,10.15,11.5,10.1,10.95,58712300,10.95
2015-08-20,11.1,11.2,9.9,10.1,32160800,10.1
2015-08-21,9.9,10.4,9.6,10.15,34187000,10.15
2015-08-24,9.6,9.7,8.65,8.75,42408000,8.75
2015-08-25,9.1,9.15,7.9,8.5,45678300,8.5
2015-08-26,8.6,9,8.1,8.7,36938600,8.7
2015-08-27,9.1,9.85,8.95,9.75,45745600,9.75
2015-08-28,10.05,10.35,9.55,9.75,35753100,9.75
2015-08-31,9.8,9.9,9.45,9.65,17499800,9.65
2015-09-01,9.45,9.45,8.9,9.1,28837500,9.1
2015-09-02,9.2,9.55,9.05,9.2,21225600,9.2
2015-09-03,9.3,9.8,9.25,9.4,17691900,9.4
2015-09-04,9.4,9.45,8.7,9.1,25346000,9.1
2015-09-07,9,9.25,8.7,8.85,18215300,8.85
2015-09-08,8.95,9.2,8.55,9.1,25432900,9.1
2015-09-09,9.3,9.85,9.2,9.65,31839800,9.65
2015-09-10,9.45,9.55,9.15,9.4,20016000,9.4
2015-09-11,9.55,9.55,9.1,9.25,19952000,9.25
2015-09-14,9.2,9.75,9.2,9.6,26621100,9.6
2015-09-15,9.6,9.75,9.15,9.2,24020800,9.2
2015-09-16,9.4,9.5,8.95,9.4,24598600,9.4
2015-09-17,9.4,9.4,9.4,9.4,0,9.4
2015-09-18,9.6,10.05,9.4,9.85,32932600,9.85
2015-09-21,9.7,11.3,9.65,11.1,61734800,11.1
2015-09-22,11.2,11.5,10.35,10.5,59014800,10.5
2015-09-23,10.5,12.1,10.2,11.75,67643300,11.75
2015-09-24,11.6,11.8,11.1,11.6,53355800,11.6
2015-09-25,11.6,11.6,11.6,11.6,0,11.6
2015-09-28,11.6,12.05,10.9,11.15,29229500,11.15
2015-09-29,10.95,11.5,10.25,11.1,52078800,11.1
2015-09-30,11.2,11.65,11.15,11.3,29617900,11.3
2015-10-01,11.5,11.6,10.9,11.05,30878600,11.05
2015-10-02,11.05,11.05,11.05,11.05,0,11.05
2015-10-05,11.25,11.6,11.1,11.45,33054800,11.45
2015-10-06,11.55,11.95,11.25,11.8,42190000,11.8
2015-10-07,11.75,13.3,11.45,12.8,73048000,12.8
2015-10-08,12.7,13.05,12.35,12.65,40193900,12.65
2015-10-09,12.9,12.95,12.25,12.45,31565900,12.45
2015-10-12,12.6,13.55,12.25,13.1,50932500,13.1
2015-10-13,13.2,14.2,13,13.9,60535500,13.9
2015-10-14,13.8,14.4,13.75,14.15,35334700,14.15
2015-10-15,14.3,14.5,13.7,14.2,33381600,14.2
2015-10-16,14.3,14.4,13.8,14.2,23032700,14.2
2015-10-19,14.25,14.5,14.1,14.3,15756000,14.3
2015-10-20,14.3,14.65,13.9,14,29352100,14
2015-10-21,14.05,14.25,13.5,13.6,18245000,13.6
2015-10-22,13.6,13.6,13.6,13.6,0,13.6
2015-10-23,13.75,14.05,13.3,13.45,18524200,13.45
2015-10-26,13.6,13.7,12.8,12.9,21185100,12.9
2015-10-27,12.9,13,12.55,12.9,23478800,12.9
2015-10-28,12.8,13.25,12.6,12.85,26982100,12.85
2015-10-29,12.6,13.3,12.45,13.1,34206400,13.1
2015-10-30,13.2,14.1,13.2,13.5,31387100,13.5
2015-11-02,13.45,13.55,12.7,12.95,22525600,12.95
2015-11-03,13.1,13.25,12.8,12.9,14219300,12.9
2015-11-04,13.15,13.25,12.75,12.8,14420500,12.8
2015-11-05,12.9,13,12.45,12.5,12005600,12.5
2015-11-06,12.5,12.65,11.85,12,17059400,12
2015-11-09,11.05,12.2,11.05,12.05,16648100,12.05
2015-11-10,11.95,12.4,11.5,11.65,20617800,11.65
2015-11-11,12.1,12.1,11.9,11.95,3040800,11.95
2015-11-12,11.95,11.95,11.95,11.95,0,11.95
2015-11-13,11.8,12.25,11.7,11.9,14412200,11.9
2015-11-16,11.8,13.25,11.65,13.1,39972200,13.1
2015-11-17,13,13.2,12.55,12.8,20419600,12.8
2015-11-18,12.8,13.15,12.45,12.5,17613900,12.5
2015-11-19,12.7,13,12.5,12.8,17781400,12.8
2015-11-20,12.7,13.1,12.6,12.9,20626100,12.9
