"Date","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
2015-04-06,146.4,149.45,145.85,147.95,2989900,143.67
2015-04-07,147.2,148.2,146,147.95,1382000,143.67
2015-04-08,147.55,149.8,147,147.3,2255000,143.04
2015-04-09,147.55,151.6,147.4,151,1362500,146.64
2015-04-10,151.5,153.05,150.3,152.7,1237500,148.29
2015-04-13,152.8,155.7,150.75,154.35,1242300,149.89
2015-04-14,154.35,154.35,154.35,154.35,0,149.89
2015-04-15,154.95,156,151,151.55,1311000,147.17
2015-04-16,151.15,152.25,147.5,150.7,1401800,146.35
2015-04-17,150.7,151.6,149.1,150.1,2062500,145.76
2015-04-20,150.2,152.6,148.65,149.8,1281900,145.47
2015-04-21,150,152,148.1,148.85,1301000,144.55
2015-04-22,149,149.55,146.6,147.05,2727900,142.8
2015-04-23,148,148.95,145.9,146.65,1977200,142.41
2015-04-24,146,147.95,144.05,145.85,1470000,141.64
2015-04-27,146.1,147.75,144.5,144.95,1154400,140.76
2015-04-28,144.3,146.5,143.5,144.45,1929100,140.28
2015-04-29,144.35,144.8,142.5,143.05,1159800,138.92
2015-04-30,142.1,144.8,140.4,142.2,2306200,138.09
2015-05-01,142.2,142.2,142.2,142.2,0,138.09
2015-05-04,143,144.6,141,144.15,2054200,139.98
2015-05-05,143.05,146.65,141.55,143.15,4499500,139.01
2015-05-06,142.75,142.75,140.05,140.6,3392700,136.54
2015-05-07,140,141.05,138.05,140.3,3064500,136.25
2015-05-08,141,142.2,139.7,140,1680200,135.95
2015-05-11,140.75,143.35,139.8,143,2209400,138.87
2015-05-12,142.9,143.05,138.6,139.3,2560400,135.27
2015-05-13,139.5,141.5,138.05,140.85,2305000,136.78
2015-05-14,140.8,140.8,138.25,139.4,1950500,135.37
2015-05-15,140.2,141.7,139.3,140.05,3546600,136
2015-05-18,139.5,140.95,138.75,140.05,8419300,136
2015-05-19,140,143.9,138.1,138.75,3709800,134.74
2015-05-20,139.1,141.4,139.05,140.8,2907200,136.73
2015-05-21,140.5,140.95,138.7,139.5,1478700,135.47
2015-05-22,139.3,141.95,137.4,140.95,3026600,136.88
2015-05-25,141.75,143.4,141.05,143.1,3125800,138.96
2015-05-26,143.4,143.6,141.55,143.05,1249000,138.92
2015-05-27,143.05,143.6,141.8,143.2,639700,139.06
2015-05-28,144.25,144.25,140.55,143.2,2164700,139.06
2015-05-29,142.5,144.45,141.25,143.7,1953800,139.55
2015-06-01,146.65,146.9,142.25,143.1,8896400,138.96
2015-06-02,142.5,142.9,141.35,142.5,2607500,138.38
2015-06-03,142.15,143.75,140.75,143.2,3391400,139.06
2015-06-04,143,145.15,142.4,144.35,4818600,140.18
2015-06-05,144,146.3,143,144.9,4891500,140.71
2015-06-08,145.45,146.7,143.95,146.15,2371000,141.93
2015-06-09,146,148.15,145.3,147.35,1518500,143.09
2015-06-10,147.55,148.2,146.2,147.15,1617200,142.9
2015-06-11,146.6,147.35,144.85,146,1188700,141.78
2015-06-12,145.5,145.95,142.25,145.4,1470600,141.2
2015-06-15,145,145,140.65,141.2,2010400,137.12
2015-06-16,140.8,144.65,140.5,144.1,1521600,139.94
2015-06-17,143.7,144.35,140.45,141.8,1704400,137.7
2015-06-18,141.3,142.7,140.85,141.95,2559200,137.85
2015-06-19,141.95,142.4,138.7,140,5129800,135.95
2015-06-22,140.85,142.2,140.4,141.3,1040100,137.22
2015-06-23,141,141.8,139.15,139.4,2362500,135.37
2015-06-24,139.05,140.55,139.05,139.85,1744500,135.81
2015-06-25,140.2,141.9,138.85,141.3,6257700,137.22
2015-06-26,140.5,141.25,138.9,139.1,2353800,135.08
2015-06-29,137.8,140.2,137.7,139.5,1941900,135.47
2015-06-30,139.5,140.4,137.65,139.1,1456200,135.08
2015-07-01,139.15,143.1,138.4,142.35,1118400,138.24
2015-07-02,142.95,143,140.6,141.5,1668100,137.41
2015-07-03,140.5,142.95,140.5,141.5,1716300,137.41
2015-07-06,140.5,142.2,139.7,140,1172100,135.95
2015-07-07,141,141.5,138.25,138.6,1819400,134.59
2015-07-08,138.1,139.2,136.4,138,1372700,134.01
2015-07-09,138.1,138.55,136.9,137,1394000,133.04
2015-07-10,137.1,139.15,136.85,138.65,1631800,134.64
2015-07-13,138.4,140.4,137.05,140,906900,135.95
2015-07-14,140.1,140.95,138.8,140.2,1274000,136.15
2015-07-15,140.05,140.7,139.5,139.75,846400,135.71
2015-07-16,139.7,140.15,139.1,139.6,1027800,135.57
2015-07-17,139.65,141.75,139.5,141.2,954200,137.12
2015-07-20,141.75,141.75,140.05,140.2,938400,136.15
2015-07-21,140.15,140.9,139.65,140,740100,135.95
2015-07-22,139.7,143.25,138.8,142.8,1063200,138.67
2015-07-23,143.1,143.3,140.75,142.25,689200,138.14
2015-07-24,142.2,142.95,141.2,142.05,951900,137.95
2015-07-27,141.35,142.95,140.05,140.4,729100,136.34
2015-07-28,141,141.7,139.45,141.35,870200,137.27
2015-07-29,140.7,141.3,139.5,140,1069200,135.95
2015-07-30,140.2,143.25,139.9,142.4,1655400,138.28
2015-07-31,142.85,142.85,140.4,142,1100500,137.9
2015-08-03,141.05,142.9,140.3,140.6,848400,136.54
2015-08-04,140.5,142.5,139.95,141,563300,136.93
2015-08-05,141,141.45,140.1,140.75,623100,136.68
2015-08-06,140.3,141.9,140.2,141.05,728500,136.97
2015-08-07,140.55,142.3,139.35,139.6,1245300,135.57
2015-08-10,140.1,141.5,137.4,138.05,1446000,134.06
2015-08-11,140,140.8,135.6,137.95,2178600,133.96
2015-08-12,137,137.9,135.7,136,828200,132.07
2015-08-13,135.8,138.6,126,137.8,1389500,133.82
2015-08-14,137.8,139.05,137.7,138.35,733800,134.35
2015-08-17,138.5,139.45,136.95,138.1,457700,134.11
2015-08-18,138.1,138.7,136.65,137.4,822300,133.43
2015-08-19,137.5,138.4,136.1,136.45,1359900,132.51
2015-08-20,135.1,136.95,134.35,136.1,1269000,132.17
2015-08-21,135,135.2,133.05,133.4,2263600,129.55
2015-08-24,130.85,132.5,127.7,131.1,4303700,127.31
2015-08-25,131,133.65,125.15,128.6,6951100,124.88
2015-08-26,128.6,132.8,128,130.95,1471600,127.17
2015-08-27,132.45,138.45,130.25,134.85,3038600,130.95
2015-08-28,135.6,137.5,133.7,135.15,1240400,131.24
2015-08-31,134.5,135.45,130.1,130.65,1296900,126.87
2015-09-01,129.35,131.1,128,129.1,2234900,125.37
2015-09-02,129.3,130,123.75,125.2,2535400,121.58
2015-09-03,125.4,128.05,125.1,127.2,1751800,123.52
2015-09-04,126.9,126.9,122.45,123.6,2176000,120.03
2015-09-07,122.8,124.9,120.55,122.3,1750600,120.04
2015-09-08,122,127.5,121.1,126.05,1660300,123.72
2015-09-09,129.4,130.5,124.6,126,1800700,123.67
2015-09-10,124.75,124.75,120.7,123.35,2241300,121.07
2015-09-11,124,125.8,123.1,124.3,1003300,122
2015-09-14,124.8,127.95,123.5,127.55,1350500,125.19
2015-09-15,127.5,130.15,126,128.35,1794100,125.98
2015-09-16,128.5,131.5,128,131.1,1500900,128.68
2015-09-17,131.1,131.1,131.1,131.1,0,128.68
2015-09-18,132,134.9,131.5,133.5,1524500,131.03
2015-09-21,132.8,137,131.7,136.55,1710400,134.02
2015-09-22,136.7,137,129.25,131,1472900,128.58
2015-09-23,131.05,132,125.8,127.8,3248900,125.44
2015-09-24,128,130.05,124.55,125.4,5475300,123.08
2015-09-25,125.4,125.4,125.4,125.4,0,123.08
2015-09-28,126.45,129,124.7,126.8,1353900,124.45
2015-09-29,125.85,130.5,125.4,128.35,1358300,125.98
2015-09-30,128.4,132.7,128.35,132.35,1714300,129.9
2015-10-01,133,133.9,130.25,130.55,1136500,128.14
2015-10-02,130.55,130.55,130.55,130.55,0,128.14
2015-10-05,131,134.15,130.95,132.5,1018900,130.05
2015-10-06,132.85,134.5,131.7,132.25,1051000,129.8
2015-10-07,132.6,133.2,131.7,132.55,789200,130.1
2015-10-08,132.9,133,131.6,132.45,741900,130
2015-10-09,133,133.5,131.9,132.55,799500,130.1
2015-10-12,132.5,133.7,131.8,133.3,885700,130.83
2015-10-13,133,133.7,132.45,133.05,402400,130.59
2015-10-14,132.9,133.5,132.2,133,968700,130.54
2015-10-15,133.5,135.45,133.2,135.05,1664700,132.55
2015-10-16,135.4,136,133.6,135,2053900,132.5
2015-10-19,135,135.35,132.85,133.8,922600,131.33
2015-10-20,134,137.1,133.5,135.9,1854400,133.39
2015-10-21,136,137.2,134.9,135.9,1971100,133.39
2015-10-22,135.9,135.9,135.9,135.9,0,133.39
2015-10-23,136.5,137.55,135.5,136.35,1331800,133.83
2015-10-26,136.5,136.85,135.25,135.75,1006000,133.24
2015-10-27,135.55,136.25,133.45,133.9,945400,131.42
2015-10-28,133.15,133.95,130.45,131.05,2658200,128.63
2015-10-29,130.6,130.6,126.2,128.15,3744800,125.78
2015-10-30,128.5,131.85,128.25,128.75,1706600,126.37
2015-11-02,128.75,129.4,127.15,128.95,847800,126.57
2015-11-03,130.45,132.15,130.2,131.65,1619800,129.22
2015-11-04,133.2,133.9,130.4,131.2,5744600,128.77
2015-11-05,131.8,132.5,130.4,130.95,5288700,128.53
2015-11-06,132.4,132.5,129.05,131.3,2373600,128.87
2015-11-09,129,130.9,126.65,130.05,2959200,127.64
2015-11-10,129.2,129.95,127.7,128.3,861200,125.93
2015-11-11,130,130,128.55,129.45,223700,127.06
2015-11-12,129.45,129.45,129.45,129.45,0,127.06
2015-11-13,128,131.4,127.5,130.2,780100,127.79
2015-11-16,129.5,130.7,128.55,129,822600,126.61
2015-11-17,129.25,131.8,129.2,130.75,901400,128.33
2015-11-18,130.65,131.6,129.75,130.9,746600,128.48
2015-11-19,131.7,132.7,130.45,131.85,1419300,129.41
2015-11-20,132,132.7,130.4,130.9,1219700,128.48
2015-11-23,130.5,131.8,130.5,131.4,1224600,128.97
2015-11-24,131,132.6,130.95,131.85,698300,129.41
2015-11-25,131.85,131.85,131.85,131.85,0,129.41
2015-11-26,131.5,134.45,131.4,133.8,2346400,131.33
2015-11-27,133.65,134,132.5,133.5,903100,131.03
2015-11-30,133.55,136.9,133.3,136.2,1128900,133.68
2015-12-01,136.1,138,135.35,136,1417700,133.48
