"Date","BRITANNIA.NS.Open","BRITANNIA.NS.High","BRITANNIA.NS.Low","BRITANNIA.NS.Close","BRITANNIA.NS.Volume","BRITANNIA.NS.Adjusted"
2015-08-04,3152,3235,3133,3175.6499,890800,3153.4837
2015-08-05,3218.8501,3228.2,3147.3,3156.3,327300,3134.2689
2015-08-06,3185,3185,3096,3139.75,224900,3117.8344
2015-08-07,3145.5,3227.6499,3145.5,3202.7,336800,3180.3449
2015-08-10,3209.5,3345,3207.95,3314.05,647100,3290.9178
2015-08-11,3345,3385,3310,3366.8999,444100,3343.3987
2015-08-12,3367,3384.3999,3300,3320.8501,306500,3297.6704
2015-08-13,3340,3434.2,3330.1001,3398.8501,360000,3375.1259
2015-08-14,3345,3382.1001,3271.8999,3343.75,352600,3320.4104
2015-08-17,3336.8999,3336.8999,3285.25,3296.25,182700,3273.242
2015-08-18,3319.8999,3339.8,3296,3316.5,93200,3293.3506
2015-08-19,3325,3348.3999,3286.3,3293.55,103100,3270.5609
2015-08-20,3272,3303.3,3215,3224.3999,138200,3201.8934
2015-08-21,3210,3216.8999,3125,3199.3501,163600,3177.0184
2015-08-24,3149,3149,2942,3002.25,409300,2981.2941
2015-08-25,3006,3048.95,2790,2976.8999,416500,2956.121
2015-08-26,2975.1001,3034.1499,2860.1001,2880.7,262900,2860.5925
2015-08-27,2930,2999,2890.5,2942.3,329900,2921.7626
2015-08-28,2966,3050,2950,2973.8,250700,2953.0427
2015-08-31,2979,2982.2,2902.5,2929.95,123700,2909.4987
2015-09-01,2900,2970,2880,2920.8999,219100,2900.5118
2015-09-02,2948,3015,2925.8501,2983.25,217100,2962.4267
2015-09-03,3039,3082.3999,2996,3008.05,280400,2987.0537
2015-09-04,3003,3016.8999,2940.75,2988.25,144500,2967.3918
2015-09-07,2990,3011.2,2888,2897.3999,131500,2877.1759
2015-09-08,2897.5,2935.3999,2765,2843.3,198200,2823.4536
2015-09-09,2900,2914.3999,2845,2879.95,141000,2859.8477
2015-09-10,2870,2896,2800,2864.3999,135300,2844.4062
2015-09-11,2888.7,2976.5,2870.8,2953.8501,162900,2933.232
2015-09-14,2975,3026.7,2960,2991.25,163700,2970.3709
2015-09-15,3000,3086,3000,3079.2,269200,3057.7069
2015-09-16,3101.8999,3145,2998.25,3011.45,283600,2990.4298
2015-09-17,3011.45,3011.45,3011.45,3011.45,0,2990.4298
2015-09-18,3048.6499,3050,2989,2997.8999,153700,2976.9744
2015-09-21,2999,3012,2952,2995.6001,106100,2974.6906
2015-09-22,3023.5,3030.5,2881,2900.5,232900,2880.2543
2015-09-23,2882.95,2918.1001,2850,2885.7,184400,2865.5576
2015-09-24,2890,2919.8,2865,2888.8999,222700,2868.7352
2015-09-25,2888.8999,2888.8999,2888.8999,2888.8999,0,2868.7352
2015-09-28,2894,2950,2885.6001,2921.05,126800,2900.6609
2015-09-29,2894,2983.8,2850.1001,2970.8,194500,2950.0637
2015-09-30,2999,3114,2985,3082,305500,3060.4875
2015-10-01,3109.75,3149.8,3101,3122.8,240700,3101.0027
2015-10-02,3122.8,3122.8,3122.8,3122.8,0,3101.0027
2015-10-05,3151,3229,3143.75,3213.6499,321000,3191.2184
2015-10-06,3231.8999,3269.95,3213.6499,3254.3999,189700,3231.684
2015-10-07,3260.2,3300,3216.6001,3236.05,169800,3213.4622
2015-10-08,3239.3999,3283.75,3211.25,3266.75,107700,3243.9479
2015-10-09,3280,3297.7,3211.3999,3224.1001,76500,3201.5957
2015-10-12,3250,3258,3156.6499,3170.45,109300,3148.32
2015-10-13,3194.8501,3194.8501,3083.5,3115.05,210300,3093.3068
2015-10-14,3110,3199.3501,3098.6499,3181.3999,139800,3159.1935
