"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2015-03-09,73,74.05,72.2,72.65,15146700,71.414
2015-03-10,73.8,75.3,72.5,74.5,20907800,73.233
2015-03-11,75.1,76.1,74.2,75.05,19540500,73.774
2015-03-12,75.45,75.65,74.3,75,10010800,73.724
2015-03-13,75.4,75.5,72.1,72.4,12755900,71.169
2015-03-16,72.3,73.65,70.85,73.25,12922200,72.004
2015-03-17,73.95,74.1,71.5,71.95,30515900,70.726
2015-03-18,71.95,71.95,70.5,71.05,11048800,69.842
2015-03-19,71.6,72.75,70.2,70.85,14087700,69.645
2015-03-20,70.1,70.25,68.5,69.05,11943000,67.876
2015-03-23,69.4,69.95,68.05,68.6,7946600,67.433
2015-03-24,68.25,69.1,67.1,67.4,10263800,66.254
2015-03-25,68,68.1,67.3,67.4,8048300,66.254
2015-03-26,67.3,68.9,66.9,68.45,11231300,67.286
2015-03-27,69.05,70.4,67,69.6,11299900,68.416
2015-03-30,70.7,74.45,70.7,74.1,16320200,72.84
2015-03-31,75.2,75.7,72.85,73.3,17755700,72.053
2015-04-01,72.7,74.75,72.7,74.05,17233100,72.791
2015-04-02,74.05,74.05,74.05,74.05,0,72.791
2015-04-03,74.05,74.05,74.05,74.05,0,72.791
2015-04-06,74.95,74.95,72.6,73.75,10138700,72.496
2015-04-07,74.1,74.3,72.45,73.35,11612000,72.102
2015-04-08,74.1,74.3,73,73.25,11247700,72.004
2015-04-09,73.4,76.2,72.75,75.3,21152700,74.019
2015-04-10,75.6,76.05,74.75,75.4,10087200,74.118
2015-04-13,75.5,76.6,75.15,75.9,12091000,74.609
2015-04-14,75.9,75.9,75.9,75.9,0,74.609
2015-04-15,76,76.95,74.1,74.95,12494100,73.675
2015-04-16,75.1,75.4,73.5,74.3,8565900,73.036
2015-04-17,74.3,74.5,72.2,72.95,6772800,71.709
2015-04-20,72.8,72.8,69.8,70.65,8755400,69.448
2015-04-21,70.3,71.55,69.3,70.35,14087500,69.154
2015-04-22,71.05,71.35,69.1,70.9,11254500,69.694
2015-04-23,71.95,72.3,69.9,70.1,13730000,68.908
2015-04-24,70.4,70.4,66.9,67.45,13173400,66.303
2015-04-27,67.55,67.8,63.8,65.6,17326300,64.484
2015-04-28,65,68.75,64.35,68.45,14083500,67.286
2015-04-29,68.8,69.8,67.95,68.8,9793100,67.63
2015-04-30,68.7,70.2,67.9,69.6,15964000,68.416
2015-05-01,69.6,69.6,69.6,69.6,0,68.416
2015-05-04,70.1,71.95,70,71.3,14652700,70.087
2015-05-05,71.75,72,69.8,70.55,10815900,69.35
2015-05-06,70.2,70.6,66.25,66.9,12465300,65.762
2015-05-07,66.4,67.45,64.4,65.65,17740400,64.533
2015-05-08,66.85,69.1,66.75,68.7,10418600,67.532
2015-05-11,69.6,74.75,69.5,74.3,24676100,73.036
2015-05-12,75,75.5,69.55,71.95,36633200,70.726
2015-05-13,72.3,72.75,68.1,69.65,35857100,68.465
2015-05-14,69.3,71.75,68.15,71.35,20440000,70.137
