"Date","WOCKPHARMA.NS.Open","WOCKPHARMA.NS.High","WOCKPHARMA.NS.Low","WOCKPHARMA.NS.Close","WOCKPHARMA.NS.Volume","WOCKPHARMA.NS.Adjusted"
2015-05-12,1296,1296,1236.9,1244.5,1242400,1227.71
2015-05-13,1260,1299.7,1240.3,1272.7,1551800,1255.53
2015-05-14,1279,1312,1249.05,1300.5,1487300,1282.95
2015-05-15,1285.1,1335,1261.4,1309.2,1782900,1291.54
2015-05-18,1305,1342,1302,1332.65,800100,1314.67
2015-05-19,1326,1394.4,1321,1372.95,1870600,1354.43
2015-05-20,1385.9,1418.4,1383.5,1397.6,1455500,1378.74
2015-05-21,1399.85,1425,1385,1408.45,1335800,1389.45
2015-05-22,1440,1459.9,1416.35,1427,1209800,1407.75
2015-05-25,1420,1423.4,1383.1,1393.6,793400,1374.8
2015-05-26,1390,1434.9,1385,1423.05,873600,1403.85
2015-05-27,1410,1594,1405,1575.55,5177100,1554.29
2015-05-28,1582.9,1588,1424.1,1433,4311100,1413.67
2015-05-29,1331.4,1470,1326.45,1446,4187300,1426.49
2015-06-01,1454.4,1499,1429.75,1474.8,1405200,1454.9
2015-06-02,1482.9,1486.95,1391.1,1402.25,1286000,1383.33
2015-06-03,1414.9,1421.4,1220.05,1350.25,2378600,1332.03
2015-06-04,1363.65,1396.3,1330.65,1384.2,1977300,1365.52
2015-06-05,1370,1408,1361.6,1373.25,1213500,1354.72
2015-06-08,1364,1368,1286,1315.05,1848800,1297.31
2015-06-09,1309.25,1343.4,1290.05,1320.9,1459100,1303.08
2015-06-10,1322.95,1378,1322,1368.65,1352300,1350.18
2015-06-11,1384.7,1403,1312.4,1321.5,1509600,1303.67
2015-06-12,1322,1335,1290,1317.25,1441100,1299.48
2015-06-15,1319,1345,1301,1324,999900,1306.14
2015-06-16,1325,1367.25,1301,1352.85,1244600,1334.6
2015-06-17,1371.9,1395.85,1361.2,1379.25,1333600,1360.64
2015-06-18,1388,1413.85,1385,1394.95,972000,1376.13
2015-06-19,1409.2,1420,1388.3,1399.4,853500,1380.52
2015-06-22,1428.8,1453.05,1427,1435.8,1073900,1416.43
2015-06-23,1441.95,1444.4,1410.3,1430,770700,1410.71
2015-06-24,1436.3,1476.9,1428.15,1441.5,1428600,1422.05
2015-06-25,1438,1452.3,1414,1419.65,833600,1400.5
2015-06-26,1414.6,1437.95,1405,1426.15,750800,1406.91
2015-06-29,1376,1390.95,1360,1381.9,864300,1363.25
2015-06-30,1384.9,1422.2,1383,1416.05,844900,1396.94
2015-07-01,1430,1442.35,1412.9,1424.55,621900,1405.33
2015-07-02,1430.2,1434.75,1403,1409.65,579500,1390.63
2015-07-03,1410.95,1461.5,1409.65,1426.3,1178100,1407.06
2015-07-06,1395,1469.85,1390.5,1455.4,962700,1435.76
2015-07-07,1474,1518,1447.2,1496.85,2132700,1476.65
2015-07-08,1470.1,1520,1462.3,1475.4,1704400,1455.49
2015-07-09,1483,1495,1444.5,1457.6,869700,1437.93
2015-07-10,1468.7,1486.8,1455.1,1465.9,640400,1446.12
2015-07-13,1471.3,1505,1457.4,1498.25,836400,1478.03
2015-07-14,1511.15,1516.8,1487.15,1495.1,818300,1474.93
2015-07-15,1496.95,1509.9,1473.05,1482.65,658700,1462.65
2015-07-16,1480,1552.6,1480,1543.7,1185000,1522.87
2015-07-17,1532,1558,1520.25,1532.2,1352300,1511.53
2015-07-20,1536,1569,1530.45,1556.3,902100,1535.3
2015-07-21,1558,1558,1476,1487,993900,1466.94
2015-07-22,1492,1541.8,1482,1530.75,773900,1510.1
2015-07-23,1540,1542.75,1487.05,1500.35,713800,1480.11
2015-07-24,1522,1538,1476.9,1490.95,969500,1470.83
2015-07-27,1487.5,1515,1458,1495.15,761300,1474.98
2015-07-28,1504.5,1519,1460,1470.5,702200,1450.66
2015-07-29,1474,1480.5,1451.2,1464.2,541900,1444.44
2015-07-30,1477,1496.45,1468,1486.45,774400,1466.39
2015-07-31,1497,1574,1494,1564,1190100,1542.9
2015-08-03,1574.9,1611.35,1560,1585.75,959800,1564.35
2015-08-04,1574.95,1579.3,1535,1563.5,817700,1542.4
2015-08-05,1577.9,1595,1551.45,1568.7,613100,1547.53
2015-08-06,1568.95,1596.65,1560,1579.25,594400,1557.94
2015-08-07,1580,1627.25,1575.1,1594.8,1037600,1573.28
2015-08-10,1600,1685,1535,1652.4,3133500,1630.1
2015-08-11,1672,1682.65,1641.2,1652.35,1194100,1630.06
2015-08-12,1644,1676.9,1623.1,1629.15,1156600,1607.17
2015-08-13,1639.7,1676.65,1637.8,1657.9,1024500,1635.53
2015-08-14,1672.95,1718,1667,1710.1,1077300,1687.03
2015-08-17,1710,1710,1672.5,1693.05,627200,1670.21
2015-08-18,1703.05,1721.45,1665.1,1671.8,813000,1649.24
2015-08-19,1674,1735,1670,1724.9,1178000,1701.63
2015-08-20,1720,1744.95,1680.35,1687.7,923600,1664.93
2015-08-21,1670.05,1671.3,1634,1656.2,1020900,1633.85
2015-08-24,1594,1607.8,1260,1301.55,1948200,1283.99
2015-08-25,1368,1376.5,1190,1321.65,2764500,1303.82
2015-08-26,1321.65,1367.9,1272.6,1297.95,1367500,1280.44
2015-08-27,1331.2,1361.35,1317.85,1335.75,1232400,1317.73
2015-08-28,1364.8,1419,1320,1351.4,1925500,1333.17
2015-08-31,1324.7,1364.9,1310.45,1342.35,1187000,1324.24
2015-09-01,1324,1361.6,1274.4,1294.25,1215300,1276.79
2015-09-02,1308.95,1320.1,1285.2,1295.95,840600,1278.46
2015-09-03,1312.7,1335,1302.15,1324.95,718800,1307.07
2015-09-04,1325.1,1334.45,1234.05,1259.9,1131000,1242.9
2015-09-07,1265,1269.8,1171.1,1182.5,1223900,1166.55
2015-09-08,1177.55,1210.85,1125.55,1187.1,2196900,1171.08
2015-09-09,1237,1248,1207.1,1217.45,1505400,1201.02
2015-09-10,1179,1328.7,1165.1,1316.25,3547400,1298.49
2015-09-11,1328,1402,1305,1385.4,2540900,1366.71
2015-09-14,1375,1416.9,1358.25,1401.3,1965800,1382.39
2015-09-15,1384.7,1452.5,1366.1,1429.8,2821800,1410.51
2015-09-16,1444,1462,1397.5,1408,1865800,1389
2015-09-17,1408,1408,1408,1408,0,1389
2015-09-18,1420,1427.95,1353.4,1364.25,1686900,1345.84
2015-09-21,1338.2,1387.8,1337.05,1379,1093000,1360.39
2015-09-22,1385.9,1416.9,1323.2,1339.95,1664900,1321.87
2015-09-23,1319,1379.7,1308.35,1374,1402200,1355.46
2015-09-24,1368,1401.15,1356.5,1367.05,1248100,1348.61
2015-09-25,1367.05,1367.05,1367.05,1367.05,0,1348.61
2015-09-28,1405,1456.25,1390.1,1413.35,2365100,1394.28
2015-09-29,1389,1437.5,1381.05,1422.4,1316100,1403.21
2015-09-30,1434.8,1541.05,1434,1525.75,3388000,1505.16
2015-10-01,1540.3,1549,1515.1,1525,1304500,1504.42
2015-10-02,1525,1525,1525,1525,0,1504.42
2015-10-05,1538.7,1568,1524,1539.55,1005500,1518.78
2015-10-06,1568.8,1605,1567.2,1586.4,1924700,1565
2015-10-07,1586,1621.8,1545.3,1556.25,1588300,1535.25
2015-10-08,1562,1575,1528,1558.7,1198100,1537.67
2015-10-09,1571,1581,1542,1549.15,798200,1528.25
2015-10-12,1558.8,1582.6,1540.1,1554.55,716100,1533.58
2015-10-13,1554,1568.4,1525.25,1539.1,550900,1518.33
2015-10-14,1545.75,1565.6,1532.85,1558.25,675200,1537.23
2015-10-15,1570,1589,1561.3,1570.9,799600,1549.7
2015-10-16,1572.25,1598,1562.5,1591.4,915900,1569.93
2015-10-19,1590,1612,1567.5,1574.75,913800,1553.5
2015-10-20,1580,1583.95,1545,1550.3,655100,1529.38
2015-10-21,1551.7,1567.9,1535,1549.2,577500,1528.3
2015-10-22,1549.2,1549.2,1549.2,1549.2,0,1528.3
2015-10-23,1560,1578.4,1553.4,1569.95,569000,1548.77
2015-10-26,1575,1631,1557,1613.95,1032900,1592.17
2015-10-27,1624.8,1640,1585.5,1598.45,1045100,1576.88
2015-10-28,1603,1624.1,1594.2,1616.75,721700,1594.94
2015-10-29,1617,1623.7,1592.3,1599.6,583600,1578.02
2015-10-30,1608,1615,1410,1496.9,1843200,1476.7
2015-11-02,1495,1560,1475.15,1552.25,1220300,1531.31
2015-11-03,1552,1564.8,1493,1529.4,957400,1508.76
2015-11-04,1539,1553,1517,1527.35,490900,1506.74
2015-11-05,1533,1533,1495.35,1520.85,616800,1500.33
2015-11-06,1527,1538.7,1485.6,1499.8,515000,1479.56
2015-11-09,1460,1547.85,1446.85,1540.3,610400,1519.52
2015-11-10,1538,1554.7,1508,1537.45,872100,1516.71
2015-11-11,1537.45,1537.45,1537.45,1537.45,0,1516.71
2015-11-12,1537.45,1537.45,1537.45,1537.45,0,1516.71
2015-11-13,1510.5,1568.95,1430.55,1526.35,1978100,1505.76
2015-11-16,1531.9,1552.35,1520,1530.85,681000,1510.19
2015-11-17,1532,1613.2,1530,1603.45,1574800,1581.82
2015-11-18,1601.85,1637.85,1582.5,1589.7,1747900,1568.25
2015-11-19,1598,1616.85,1571,1607.2,1090400,1585.51
2015-11-20,1611.3,1629.8,1601.05,1613.55,714700,1591.78
2015-11-23,1619.3,1633.95,1598.05,1609.9,581300,1588.18
2015-11-24,1634.5,1644,1615,1623.95,911500,1602.04
2015-11-25,1623.95,1623.95,1623.95,1623.95,0,1602.04
2015-11-26,1630.8,1630.8,1595.2,1599.2,494700,1577.62
2015-11-27,1602,1619,1592.85,1602.9,472100,1581.27
2015-11-30,1607,1676.5,1605.2,1659.7,1367800,1637.31
2015-12-01,1665,1699.8,1663.8,1692.45,969900,1669.61
2015-12-02,1740.1,1745,1695.4,1702.05,1349400,1679.09
2015-12-03,1703.9,1715,1674,1680.6,590000,1657.92
2015-12-04,1671.8,1706.8,1662.05,1676.35,708700,1653.73
2015-12-07,1689,1704,1635,1650.15,824300,1627.89
2015-12-08,1646.9,1695,1622.2,1639.1,1351700,1616.98
2015-12-09,1637,1654,1550,1563.9,1220200,1542.8
2015-12-10,1574.3,1612,1542,1602.1,989100,1580.48
2015-12-11,1611,1620,1570.3,1581.25,869500,1559.91
2015-12-14,1572.5,1584.7,1545,1559.55,708900,1538.51
2015-12-15,1564.7,1580.5,1558,1572.1,512100,1550.89
2015-12-16,1581.5,1617.9,1578,1587.15,627700,1565.74
2015-12-17,1596.1,1642,1576.05,1628.2,927900,1606.23
2015-12-18,1630,1654.85,1620.3,1627.55,796700,1605.59
2015-12-21,1634,1643.5,1618.05,1628.15,472100,1606.18
2015-12-22,1634.3,1643,1600.1,1611.75,479800,1590
2015-12-23,1624,1633,1536,1574.05,1495500,1552.81
2015-12-24,1573,1589.4,1554,1561.9,682400,1540.83
2015-12-25,1561.9,1561.9,1561.9,1561.9,0,1540.83
2015-12-28,1559,1578.8,1555.25,1563.45,334800,1542.36
2015-12-29,1570,1575,1553,1559.4,327800,1538.36
2015-12-30,1564.35,1567.2,1527,1534.15,503400,1513.45
2015-12-31,1535,1553.45,1522,1528.7,494100,1508.07
2016-01-01,1537.8,1614,1530.85,1603.75,1038300,1582.11
2016-01-04,1599.5,1627.55,1550.1,1578.4,1368100,1557.1
2016-01-05,1585,1600,1563.1,1579.7,1108300,1558.39
2016-01-06,1584,1618.9,1570.15,1576.6,972800,1555.33
2016-01-07,1567.2,1576,1536.7,1545.8,739600,1524.94
2016-01-08,1560,1597,1548,1583.35,818500,1561.99
2016-01-11,1559.75,1572.8,1524.65,1557.55,656200,1536.53
2016-01-12,1565,1628,1559,1619.35,1243800,1597.5
2016-01-13,1638,1646.85,1532.1,1571.7,1661200,1550.49
2016-01-14,1548.75,1569,1485.1,1514.9,964100,1494.46
2016-01-15,1516.7,1518.8,1251.6,1287,5002200,1269.64
2016-01-18,1274,1285.55,1144.95,1209.55,3671700,1193.23
2016-01-19,1212,1245,1110.55,1211.5,3405100,1195.15
2016-01-20,1170,1234.5,1156.4,1199.15,2389900,1182.97
2016-01-21,1217.9,1230,1175,1189.55,1677200,1173.5
2016-01-22,1204.1,1225,1193.35,1201.7,985600,1185.49
2016-01-25,1212.4,1262.9,1205.1,1227.55,1542400,1210.99
2016-01-26,1227.55,1227.55,1227.55,1227.55,0,1210.99
2016-01-27,1234,1245,1210,1220.5,823000,1204.03
2016-01-28,1220,1278.8,1214.25,1253.9,1958900,1236.98
2016-01-29,1240.1,1297.5,1220.5,1273.45,1300800,1256.27
2016-02-01,1282,1289.95,1231,1240.95,953400,1224.21
2016-02-02,1240,1255.95,1208.2,1213.3,823900,1196.93
2016-02-03,1200,1200,1115.1,1142.7,1209800,1127.28
2016-02-04,1149.8,1153,991.05,1019.05,4222800,1005.3
2016-02-05,1014,1054.85,966.8,1043.8,3451100,1029.72
2016-02-08,1048,1059,1001,1011.75,1440800,998.1
2016-02-09,990,1018.1,970.4,987.7,1619200,974.37
2016-02-10,987,999.3,930.15,955.85,2136900,942.95
2016-02-11,945,982,848.05,877.1,2404100,865.27
2016-02-12,825,835,705.75,762.1,6269000,751.82
2016-02-15,786,824,714.25,758,5870100,747.77
2016-02-16,765.1,814.5,730.5,793.4,6627400,782.7
2016-02-17,804.5,813.7,783,796.6,3145900,785.85
2016-02-18,810.2,837,775,791.8,2905100,781.12
2016-02-19,787.9,815.6,764.05,805.4,2097100,794.53
2016-02-22,817.8,820.05,788.4,810.7,1502700,799.76
2016-02-23,812.4,812.4,780.4,788.55,1669600,777.91
2016-02-24,780,796.6,762.1,789.9,2019400,779.24
2016-02-25,797,810.75,781.45,786.05,1491400,775.44
2016-02-26,795,801.95,768.6,781.35,1318100,770.81
2016-02-29,773.9,787.8,752.25,760.15,1386700,749.89
2016-03-01,763.8,810,763.8,801.5,1864500,790.69
2016-03-02,815.55,899.6,812,881.4,4635100,869.51
2016-03-03,894,926,893,917.2,3117600,904.82
2016-03-04,925,930,891,910.95,1854900,898.66
2016-03-07,910.95,910.95,910.95,910.95,0,898.66
2016-03-08,914,971.8,896.3,965.95,3385500,952.92
2016-03-09,970,996.95,961.15,979.1,2518100,965.89
2016-03-10,985,996.3,956.55,966.75,1558800,953.71
2016-03-11,970,978.9,952,971.85,1126600,958.74
2016-03-14,973,1012.7,964.45,995.9,2386400,982.46
2016-03-15,997.65,1009.15,973.35,978,1405500,964.8
2016-03-16,976.3,984,935.6,959.65,2019600,946.7
2016-03-17,969.9,978.7,947.1,952.4,1718900,939.55
2016-03-18,950.45,950.85,912.2,935,2235200,922.38
2016-03-21,940,955,928,948.2,1200500,935.41
2016-03-22,950,972.5,948.5,958,1296900,945.07
2016-03-23,961.7,969,953.25,957.3,833200,944.38
2016-03-24,957.3,957.3,957.3,957.3,0,944.38
2016-03-25,957.3,957.3,957.3,957.3,0,944.38
2016-03-28,952,963.5,937,940.85,666700,928.16
2016-03-29,936,955.95,891,947.5,2169800,934.72
2016-03-30,962.7,964.9,941.75,954.5,924300,941.62
2016-03-31,960.8,978.9,956,973.95,1243600,960.81
2016-04-01,978,989.9,967,977.35,835300,964.16
2016-04-04,984.95,985,962.55,969.95,604800,956.86
2016-04-05,966,975,946.1,951.7,694100,938.86
2016-04-06,948.9,949.8,930.15,942.85,792100,930.13
2016-04-07,944.95,986,943,952.5,1744900,939.65
2016-04-08,952.5,966,949,957.5,637700,944.58
2016-04-11,962.3,973,951,967.55,614400,954.5
2016-04-12,969.9,1035.7,966.1,1028.8,3157000,1014.92
2016-04-13,1046,1056.55,1026,1032.95,1362500,1019.01
2016-04-14,1032.95,1032.95,1032.95,1032.95,0,1019.01
2016-04-15,1032.95,1032.95,1032.95,1032.95,0,1019.01
2016-04-18,1035.9,1045,1000.1,1035.15,949100,1021.18
