"Date","INDIGO.NS.Open","INDIGO.NS.High","INDIGO.NS.Low","INDIGO.NS.Close","INDIGO.NS.Volume","INDIGO.NS.Adjusted"
2016-01-12,1252.9,1281,1243.6,1250.65,1461600,1228.92
2016-01-13,1268,1279.9,1145,1228.8,2422000,1207.45
2016-01-14,1223.95,1229,1182.3,1200,1367800,1179.15
2016-01-15,1210,1224.65,1165.75,1176.25,1016800,1155.82
2016-01-18,1180,1186.8,1111.75,1131.8,1168200,1112.14
2016-01-19,1143.85,1217.4,1121.45,1206.75,1803000,1185.79
2016-01-20,1182.85,1215,1150,1202.1,1715400,1181.22
2016-01-21,1225.15,1239,1185,1197.85,1408400,1177.04
2016-01-22,1175,1175,958.3,968.3,10529000,951.48
2016-01-25,939,952.45,886.8,902.7,6958300,887.02
2016-01-26,902.7,902.7,902.7,902.7,0,887.02
2016-01-27,910,961.7,910,936.15,3802200,919.89
2016-01-28,938,947,885.1,903.35,2430700,887.66
2016-01-29,906,913.75,857.85,874.7,2256100,859.5
2016-02-01,905,920,872,882.05,1738100,866.73
2016-02-02,882.5,887.8,832.65,845,2513500,830.32
2016-02-03,838,868.8,821,837.95,2373500,823.39
2016-02-04,841.9,851.9,781.1,805.35,2734400,791.36
2016-02-05,808,844,783.3,836.95,2379200,822.41
2016-02-08,854,854.8,811,824.35,1592300,810.03
2016-02-09,810,821,785,788.15,1129000,774.46
2016-02-10,789,806.5,750,771.45,1875000,758.05
2016-02-11,770,775.05,698.35,719.7,2840000,707.2
2016-02-12,728.5,788.7,714,779.65,2346200,766.11
2016-02-15,798.85,849.9,791,839.05,1907100,824.47
2016-02-16,847,857,817.1,840.85,1353200,826.24
2016-02-17,852,860,829,839.8,1430100,825.21
2016-02-18,845,860,835.1,849.15,775500,834.4
2016-02-19,851,857.35,838.25,841.25,577100,826.64
2016-02-22,838,844,815.3,819.9,549400,805.66
2016-02-23,817,828.7,797.2,810.05,669700,795.98
2016-02-24,809.95,825,800,808.45,753900,794.41
2016-02-25,805.1,812.7,780,791.1,607700,777.36
2016-02-26,799.9,844.5,775.9,833.3,1149700,818.82
2016-02-29,850.05,854,781.3,812.25,1574600,798.14
2016-03-01,803.9,838.9,800,825.7,1166200,811.36
2016-03-02,841.5,883.65,827,869.75,1154300,854.64
2016-03-03,873,875,842.25,851.75,598700,836.95
2016-03-04,852,881.75,835.1,872.85,801000,857.69
2016-03-07,872.85,872.85,872.85,872.85,0,857.69
2016-03-08,874.65,874.65,851.1,859.5,645700,844.57
2016-03-09,850,857.6,802.4,812.8,1287300,798.68
2016-03-10,827,832,801,806.65,908500,792.64
2016-03-11,822.8,848.8,812,820.55,1791800,806.3
2016-03-14,825,830,796.65,804.65,792000,790.67
2016-03-15,804,816.9,795.1,800.1,682400,786.2
2016-03-16,801,807.9,797,801.85,500700,787.92
2016-03-17,810,817,803,806.9,548700,792.88
2016-03-18,805,812.5,792,808.8,661700,794.75
2016-03-21,813.75,860,813,848.95,1511000,834.2
2016-03-22,845,856.55,836.7,843.65,524000,828.99
2016-03-23,842.6,922.65,838,898.5,2741000,882.89
2016-03-24,898.5,898.5,898.5,898.5,0,882.89
2016-03-25,898.5,898.5,898.5,898.5,0,882.89
2016-03-28,890,927.85,874,880.6,1924600,865.3
2016-03-29,878,906.9,870,889.8,799500,874.34
2016-03-30,897,906.8,885,891,438800,875.52
2016-03-31,891,900.5,870.1,873.2,503800,858.03
2016-04-01,873,912,862,908.55,1133500,892.77
2016-04-04,918.6,974,906.85,967.05,2042000,950.25
2016-04-05,963.9,986.65,952.65,973.45,2433000,956.54
2016-04-06,978.7,998.75,969,993.55,1402300,976.29
2016-04-07,992,1015.95,978.4,990.75,1267400,973.54
2016-04-08,989.95,1007.5,951,954.3,1145500,937.72
2016-04-11,961,994,956.55,985.7,783200,968.58
2016-04-12,991,1021.5,989.05,1004.05,940500,986.61
2016-04-13,1005,1037.75,1002.25,1030.9,1165000,1012.99
2016-04-14,1030.9,1030.9,1030.9,1030.9,0,1012.99
2016-04-15,1030.9,1030.9,1030.9,1030.9,0,1012.99
2016-04-18,1041.7,1063,1036.95,1053.55,622400,1035.25
2016-04-19,1053.55,1053.55,1053.55,1053.55,0,1035.25
2016-04-20,1058.8,1064,1015,1019.25,808300,1001.54
2016-04-21,1023,1033,995,1001.05,700300,983.66
2016-04-22,1002.9,1017,995.15,1001.45,470300,984.05
2016-04-25,1002,1022.5,1002,1015,492000,997.37
2016-04-26,1021.8,1034.45,1015.55,1030,542800,1012.11
2016-04-27,1033,1054.4,1023,1047.7,677300,1029.5
2016-04-28,1051,1069,1051,1063.9,793500,1045.42
2016-04-29,1074,1080,1041.7,1075.95,967400,1057.26
2016-05-02,1023.1,1043.75,1002,1025.3,1249400,1007.49
2016-05-03,1031.85,1064.45,1031.85,1059.2,887400,1040.8
2016-05-04,1054,1072.5,1041.7,1067.6,542600,1049.05
2016-05-05,1072.8,1095,1055.1,1088.4,616800,1069.49
2016-05-06,1088.2,1088.2,1066.25,1075.5,258800,1056.82
2016-05-09,1073,1084,1046.5,1077.45,543500,1058.73
2016-05-10,1075.7,1092,1071.3,1076.1,576900,1057.41
2016-05-11,1058,1074.8,1050.7,1060.75,287300,1042.32
2016-05-12,1065,1065.1,1040,1045,270500,1026.85
2016-05-13,1043,1056.3,1035.1,1042.6,275600,1024.49
2016-05-16,1044,1048.75,1022.05,1030.5,331800,1012.6
2016-05-17,1041,1060,1033.6,1049.95,650500,1031.71
2016-05-18,1045.45,1045.45,1020,1025.6,312200,1007.78
2016-05-19,1030,1035.45,1004,1008.4,240200,990.88
2016-05-20,1010,1012.5,956,962.5,404400,945.78
2016-05-23,974,997.85,964.15,992.2,372100,974.96
2016-05-24,991,996.2,975.95,980.3,281800,963.27
2016-05-25,989,994.5,970,985.3,398900,968.18
2016-05-26,986,998,975,993.9,460700,976.63
2016-05-27,996.05,1039.9,996.05,1030.15,714100,1012.25
2016-05-30,1038,1069.4,1020.1,1060.75,494900,1042.32
2016-05-31,1058,1069,1043,1064.3,235000,1045.81
2016-06-01,1051.7,1056,1013.95,1023.95,407400,1006.16
2016-06-02,1019,1034,1005.5,1012.95,173900,995.35
2016-06-03,1016.9,1018.6,990.1,992.7,190900,975.45
2016-06-06,994,1029,991.25,1019.8,285200,1002.08
2016-06-07,1023,1023,998.15,1007.05,160900,989.56
2016-06-08,1005,1008,990.1,992.5,220400,975.26
2016-06-09,990.05,1013.2,990,1004.6,453000,987.15
2016-06-10,1009.9,1017.9,990,998.3,291700,980.96
2016-06-13,988,988,975,980.1,175600,963.07
2016-06-14,984.95,994.95,978.2,990.35,161700,973.15
2016-06-15,996.55,1033,995,1011.4,726900,993.83
2016-06-16,1009,1023.8,995,1012.8,272100,995.21
2016-06-17,1014.95,1021,1006,1013.45,151800,995.84
2016-06-20,1009,1089,991,1071.7,1517100,1053.08
2016-06-21,1084,1089.85,1033,1039.35,1038500,1021.29
2016-06-22,1040,1041.3,1015.95,1025.3,364800,1007.49
2016-06-23,1029.95,1029.95,999.15,1006.55,220500,989.06
2016-06-24,975,1009.95,961,1004.5,394100,987.05
2016-06-27,1014.5,1024.95,1010.25,1017.65,161900,999.97
2016-06-28,1023.05,1042,1015,1019.95,265700,1002.23
2016-06-29,1019.9,1030,1012,1018.2,181500,1000.51
2016-06-30,1020,1024.95,1010.05,1015.35,221300,997.71
2016-07-01,1013,1025.5,1005.05,1012.4,404000,994.81
2016-07-04,1014.95,1054,1013.05,1044.65,389900,1026.5
2016-07-05,1048.8,1049.9,856.6,1017.25,667300,999.58
2016-07-06,1017.25,1017.25,1017.25,1017.25,0,999.58
2016-07-07,1020,1033,1010,1013,260100,995.4
2016-07-08,1014.95,1027.95,1001,1013.9,300700,996.29
2016-07-11,1025,1028.55,1003,1008.7,295600,991.18
2016-07-12,1014.95,1025,1005.1,1012.55,187500,994.96
2016-07-13,1015.3,1024,992.6,998.85,184900,981.5
2016-07-14,1000,1009.6,985.05,991.7,200100,974.47
2016-07-15,992,994.95,965.05,970.3,259900,953.44
2016-07-18,967,978.5,941.25,950.3,491000,933.79
2016-07-19,949.7,954.45,938.2,947.1,182000,930.65
2016-07-20,951,955,930.5,951.4,199000,934.87
2016-07-21,952,954.65,942,946.55,115800,930.11
2016-07-22,949,975.9,943.6,953.95,324200,937.38
2016-07-25,953,968.9,946,956.5,307900,939.88
2016-07-26,955,957.8,939.3,942.5,415900,926.13
2016-07-27,948.4,962.2,934.7,948.5,919400,932.02
2016-07-28,943.7,952.9,936.2,948.9,363400,932.42
2016-07-29,952,993.4,950.25,987.8,1663600,970.64
2016-08-01,993.55,997.7,965.05,971.65,726800,954.77
2016-08-02,921,947.4,860.25,866.05,2626100,851
