"Date","CEATLTD.NS.Open","CEATLTD.NS.High","CEATLTD.NS.Low","CEATLTD.NS.Close","CEATLTD.NS.Volume","CEATLTD.NS.Adjusted"
2015-10-22,1240.2,1240.2,1240.2,1240.2,0,1227.57
2015-10-23,1245,1254.35,1222.25,1225.45,338100,1212.97
2015-10-26,1233.3,1233.3,1174.2,1181.85,548500,1169.82
2015-10-27,1171,1188,1157.7,1177.3,659500,1165.31
2015-10-28,1147,1199,1134.4,1143.6,1914400,1131.96
2015-10-29,1145.9,1159.7,1095,1100.45,1371300,1089.25
2015-10-30,1105,1112.9,1074.3,1081.55,874900,1070.54
2015-11-02,1084,1109.95,1061.1,1105.35,686300,1094.1
2015-11-03,1110.8,1129.4,1099.2,1106.6,633200,1095.33
2015-11-04,1110.8,1115.6,1062.05,1067.5,566100,1056.63
2015-11-05,1065,1068.9,1020,1025.25,838300,1014.81
2015-11-06,1026.35,1045,995,1014.3,864500,1003.97
2015-11-09,980,1016.5,971.1,989.75,740300,979.67
2015-11-10,979.05,1004.4,968.75,974.8,586300,964.88
2015-11-11,974.8,974.8,974.8,974.8,0,964.88
2015-11-12,974.8,974.8,974.8,974.8,0,964.88
2015-11-13,987.95,995.7,967.05,984.45,377000,974.43
2015-11-16,981,993,958.1,983.5,554000,973.49
2015-11-17,994.5,1067,994.5,1056,1492900,1045.25
2015-11-18,1057.2,1078.5,1034.85,1043.05,1371500,1032.43
2015-11-19,1050,1063.05,1035,1049.05,647400,1038.37
2015-11-20,1050.25,1058.8,1028.3,1041,448300,1030.4
2015-11-23,1041,1062.45,1035.35,1055.9,525300,1045.15
2015-11-24,1060,1084.1,1057.4,1062.05,768300,1051.24
2015-11-25,1062.05,1062.05,1062.05,1062.05,0,1051.24
2015-11-26,1064.2,1073.05,1028.05,1033.3,570400,1022.78
2015-11-27,1035.1,1039.3,1005.4,1017.75,500700,1007.39
2015-11-30,1011,1033.2,1004.9,1030,448800,1019.51
2015-12-01,1031,1056,1027.65,1048.85,538600,1038.17
2015-12-02,1073.7,1087.9,1060,1068.65,1083200,1057.77
2015-12-03,1067,1075.05,1041.4,1044.55,465700,1033.92
2015-12-04,1031.1,1045,1016.15,1020.7,454100,1010.31
2015-12-07,1029.2,1046.8,1026.35,1037.5,345800,1026.94
2015-12-08,1039.4,1053.5,1020,1027.45,383200,1016.99
2015-12-09,1029.3,1029.3,981.6,987.85,523500,977.79
2015-12-10,988.1,1024.3,968.15,1018.95,933000,1008.58
2015-12-11,1022,1038,996.25,1013.6,784200,1003.28
2015-12-14,1014.95,1030,1002,1019.3,486300,1008.92
2015-12-15,1024.95,1024.95,1008.6,1015.95,332300,1005.61
2015-12-16,1019.95,1041.6,1011,1018.45,614900,1008.08
2015-12-17,1030,1042.5,1010.1,1036.4,522300,1025.85
2015-12-18,1036,1040.85,1020,1028.4,312900,1017.93
2015-12-21,1030,1041.9,1025,1036.1,231800,1025.55
2015-12-22,1039,1073,1034.4,1054.2,746900,1043.47
2015-12-23,1062.5,1069.95,1053.05,1057.2,313800,1046.44
2015-12-24,1063,1063,1041,1047.25,267000,1036.59
2015-12-25,1047.25,1047.25,1047.25,1047.25,0,1036.59
2015-12-28,1050,1065.75,1025,1061.95,300900,1051.14
2015-12-29,1066.9,1066.9,1048,1054,241500,1043.27
2015-12-30,1059.8,1062.3,1045.3,1049,275000,1038.32
2015-12-31,1052,1055,1041,1051.4,237300,1040.7
2016-01-01,1051,1080.75,1047.6,1073.7,490200,1062.77
2016-01-04,1072.75,1093,1056.25,1068.5,516700,1057.62
2016-01-05,1069,1073.65,1048.15,1061.15,301900,1050.35
2016-01-06,1069.4,1089,1056.3,1069.25,478000,1058.36
2016-01-07,1055,1055.9,1005.55,1015.5,427600,1005.16
2016-01-08,1018.8,1031.85,991,1004.7,535600,994.47
2016-01-11,992.5,1011,980.25,1002,446800,991.8
2016-01-12,1005,1024,1001,1015.45,333300,1005.11
2016-01-13,1025,1028,990.05,1016.25,356700,1005.9
2016-01-14,991,1014.75,990.1,1002.65,223200,992.44
2016-01-15,1009.5,1009.5,951.7,962.6,469100,952.8
2016-01-18,959.45,959.45,908.4,915.55,441200,906.23
2016-01-19,915,937.7,892.45,901.85,580900,892.67
2016-01-20,886,899.85,875.1,890.1,318800,881.04
2016-01-21,904.7,916,888.3,895.25,304500,886.14
2016-01-22,900,931,900,925.15,317200,915.73
2016-01-25,927,945,918,922.3,356800,912.91
2016-01-26,922.3,922.3,922.3,922.3,0,912.91
2016-01-27,922.8,928,910.05,916.55,319800,907.22
2016-01-28,922.95,934.95,912.45,917.7,300700,908.36
2016-01-29,927,946,900.05,940.55,405700,930.97
2016-02-01,949.9,957.85,913.45,924.7,324000,915.29
2016-02-02,924,932,910.1,921.15,336700,911.77
2016-02-03,907,919.85,899,904.3,432600,895.09
2016-02-04,912,916.85,882.5,891.55,333000,882.47
2016-02-05,893,905.5,881.55,903.4,185200,894.2
2016-02-08,904.9,929.5,900.05,913.5,315100,904.2
2016-02-09,912.9,926,901.2,907.8,274400,898.56
2016-02-10,910.9,955,891,948.45,1069500,938.79
2016-02-11,948,962.95,895,900.7,660100,891.53
2016-02-12,909.8,913.1,852,898.05,710000,888.91
2016-02-15,911,956.7,910,950.8,468100,941.12
2016-02-16,957.85,993,940.1,951.35,829500,941.66
2016-02-17,950,962,914,954.1,455700,944.39
2016-02-18,966,969.5,920.35,938.1,477200,928.55
2016-02-19,942,962,936,950.95,309300,941.27
2016-02-22,955,973.95,953.4,968.65,321000,958.79
2016-02-23,973.95,973.95,942,946.65,263900,937.01
2016-02-24,944,948,925.05,931.2,362100,921.72
2016-02-25,936,953.95,916.1,947.8,429000,938.15
2016-02-26,951,963,925.1,930.7,322700,921.22
2016-02-29,922.25,955,922.25,947.8,342900,938.15
2016-03-01,954,998.55,950.45,989.3,389400,979.23
2016-03-02,1008.75,1060,1003.2,1048.3,498100,1037.63
2016-03-03,1057.3,1095,1053.8,1086.9,487100,1075.83
2016-03-04,1095,1109,1071.5,1098.95,368000,1087.76
2016-03-07,1098.95,1098.95,1098.95,1098.95,0,1087.76
2016-03-08,1090,1108.15,1061.8,1098.85,380100,1087.66
2016-03-09,1090.5,1090.5,1070.1,1084.75,279300,1073.71
2016-03-10,1089.8,1089.8,1059.15,1063.45,350400,1052.62
2016-03-11,1055,1070.75,1034.4,1056.35,355700,1045.6
2016-03-14,1066,1085,1057.1,1079.25,250000,1068.26
2016-03-15,1084.3,1095,1071.25,1086.55,411000,1075.49
2016-03-16,1087,1091.2,1060.1,1077.1,294700,1066.13
2016-03-17,1080,1108.8,1080,1085.75,416100,1074.7
2016-03-18,1086.65,1124.5,1073.3,1117.5,791100,1106.12
2016-03-21,1121,1144.4,1115.1,1129.55,573900,1118.05
2016-03-22,1122.15,1130,1090.6,1097.05,373700,1097.05
2016-03-23,1086.6,1092.6,1068,1074.9,295100,1074.9
2016-03-24,1074.9,1074.9,1074.9,1074.9,0,1074.9
2016-03-25,1074.9,1074.9,1074.9,1074.9,0,1074.9
2016-03-28,1056,1074.9,1043.5,1053,280500,1053
2016-03-29,1054.5,1061.7,1035.75,1042.8,315500,1042.8
2016-03-30,1058.9,1072,1053.5,1062.15,252900,1062.15
2016-03-31,1061.25,1100,1054,1086.65,505500,1086.65
2016-04-01,1079.4,1081.2,1063.3,1067.9,252500,1067.9
2016-04-04,1075,1075,1051.2,1056.5,186400,1056.5
2016-04-05,1050.25,1070.3,1043.1,1047.1,256800,1047.1
2016-04-06,1055.7,1082,1048.4,1076.6,243900,1076.6
2016-04-07,1082,1104.95,1074.1,1088.15,467400,1088.15
2016-04-08,1090,1090,1075,1083.65,182700,1083.65
2016-04-11,1084.7,1084.7,1060.65,1073,189100,1073
2016-04-12,1070,1128.2,1063.3,1124.25,519300,1124.25
2016-04-13,1135.45,1147,1115.25,1123.65,401900,1123.65
2016-04-14,1123.65,1123.65,1123.65,1123.65,0,1123.65
2016-04-15,1123.65,1123.65,1123.65,1123.65,0,1123.65
2016-04-18,1125,1153.8,1112.95,1149.2,365100,1149.2
2016-04-19,1149.2,1149.2,1149.2,1149.2,0,1149.2
2016-04-20,1154,1164.5,1130.3,1135.8,486500,1135.8
2016-04-21,1135,1149.9,1114.55,1125.1,264300,1125.1
2016-04-22,1116,1116,1095.05,1104.55,535900,1104.55
2016-04-25,1105,1154.7,1086.55,1149.8,685700,1149.8
2016-04-26,1148.7,1165,1136,1146.2,507800,1146.2
2016-04-27,1154.3,1155.55,1113.1,1121.6,485900,1121.6
2016-04-28,1105.25,1186.85,1102.35,1173.6,1559700,1173.6
2016-04-29,1152.7,1152.7,1090,1098.6,661300,1098.6
2016-05-02,1080,1120,1075.05,1094.45,383300,1094.45
2016-05-03,1100,1115,1093.2,1099.9,302600,1099.9
2016-05-04,1081,1105.25,1052,1055.75,355600,1055.75
2016-05-05,1061,1074.55,1041.45,1052.6,331500,1052.6
2016-05-06,1050,1063.1,1040.05,1044.6,387000,1044.6
2016-05-09,1047,1054,1029,1033.75,343000,1033.75
2016-05-10,1037.85,1037.85,1002.8,1015.1,899900,1015.1
2016-05-11,1002.9,1031.85,998.15,1011.05,527200,1011.05
2016-05-12,1018,1034.5,1004,1023.1,488000,1023.1
2016-05-13,1023.45,1029,1010,1013.65,244800,1013.65
2016-05-16,1013.95,1022.5,1002.95,1010.4,195200,1010.4
2016-05-17,1014.5,1022.5,1002.05,1004.95,291300,1004.95
2016-05-18,998.95,1015,996.3,1004.65,336000,1004.65
2016-05-19,1010.5,1010.5,955.75,963.3,490800,963.3
2016-05-20,956,964.95,941,946.2,405400,946.2
2016-05-23,952,959.8,923,926.95,365400,926.95
2016-05-24,927,935.7,905.1,908.3,390100,908.3
2016-05-25,915,922.8,892.4,902.9,760400,902.9
2016-05-26,902.9,915,896,905.4,887900,905.4
2016-05-27,914.9,933.9,913.9,928.15,608300,928.15
2016-05-30,937,939.6,922.6,931,370000,931
2016-05-31,935,941.4,917.35,924,453800,924
2016-06-01,928,928.8,903.35,907.2,305000,907.2
2016-06-02,904,917.7,889.15,913.35,438500,913.35
2016-06-03,921,922,896.85,899.4,350100,899.4
2016-06-06,900,910.9,895.5,902.35,293900,902.35
2016-06-07,903,909.6,898.5,903.6,395400,903.6
2016-06-08,908.8,917.5,900.45,907.65,504300,907.65
2016-06-09,916.2,916.3,902,905.2,350600,905.2
2016-06-10,905,911,885.6,891.35,364300,891.35
2016-06-13,883.55,883.9,870.45,874.6,341100,874.6
2016-06-14,872,878.45,864.05,872.1,567400,872.1
2016-06-15,878,878.95,862.35,866.95,443000,866.95
2016-06-16,868.9,870.45,848.25,855.6,476100,855.6
2016-06-17,859,860,823,831.25,797900,831.25
2016-06-20,829,848.9,816,839.2,842800,839.2
2016-06-21,838,843.9,823,831.3,419500,831.3
2016-06-22,830.7,842,817,820.95,345500,820.95
2016-06-23,821.05,826.15,806.55,810.55,406800,810.55
2016-06-24,790,790,730,772.6,767000,772.6
2016-06-27,776,801.2,770,794.65,438400,794.65
2016-06-28,801.6,818,799.35,814.3,438700,814.3
2016-06-29,822.45,869,816.05,850.55,1396700,850.55
2016-06-30,855,869.2,829.5,838.85,1045700,838.85
2016-07-01,838.95,871.5,835.05,863.15,1047600,863.15
2016-07-04,865.25,886,865.1,883.35,550300,883.35
2016-07-05,887.6,887.7,862.45,866.55,445300,866.55
2016-07-06,866.55,866.55,866.55,866.55,0,866.55
2016-07-07,866.55,868.6,850.1,853.55,394500,853.55
2016-07-08,857,860,841.1,850.9,254100,850.9
2016-07-11,861.9,864.35,852.6,855.7,268800,855.7
2016-07-12,860,880,848.05,875.65,838200,875.65
2016-07-13,881.45,881.45,857.2,861.7,372600,861.7
2016-07-14,862,874.95,856.8,869.1,239200,869.1
2016-07-15,860.4,875.05,856.35,858.85,324400,858.85
2016-07-18,864,890.5,858,884.7,1046000,884.7
2016-07-19,890.9,895.8,870,877,746500,877
2016-07-20,879.7,885.35,875,878.35,316300,878.35
2016-07-21,882,894.1,875,878,377700,878
2016-07-22,875,887.5,874.65,884.95,275900,884.95
2016-07-25,890,914,885.6,906.3,822500,906.3
2016-07-26,912.2,914.4,860,865.8,820200,865.8
2016-07-27,872.8,885,857.5,881.25,668100,881.25
2016-07-28,886.7,900,873,881.8,724400,881.8
2016-07-29,869,869.9,851.6,863.75,660900,863.75
2016-08-01,870,879,860,863.65,377600,863.65
2016-08-02,864.2,872.25,852.35,858.05,261500,858.05
2016-08-03,859.95,867,843.2,848.85,384200,848.85
2016-08-04,850.3,862,844.35,857.6,341400,857.6
2016-08-05,866.8,918.8,858,908.35,1694200,908.35
2016-08-08,915,930.8,908.2,913.95,829800,913.95
2016-08-09,917,923.35,891.6,907.8,735300,907.8
2016-08-10,911,913.7,874.1,881,481700,881
2016-08-11,882,890.9,872,883.65,259200,883.65
2016-08-12,887,897.9,874.3,876.5,356100,876.5
2016-08-15,876.5,876.5,876.5,876.5,0,876.5
2016-08-16,879.5,883.95,860.1,877.4,339600,877.4
2016-08-17,878,904.85,874.05,886.45,688200,886.45
2016-08-18,890,893.05,865.65,868.75,459400,868.75
2016-08-19,874,876.45,861.8,865,341800,865
2016-08-22,864.9,866,841,845.9,395300,845.9
2016-08-23,843,859.3,834.65,853.4,466400,853.4
2016-08-24,858,871.8,856.9,868.95,504000,868.95
2016-08-25,869.5,874,855.5,859.6,471500,859.6
2016-08-26,860,869.5,850.55,866.5,317600,866.5
2016-08-29,878,903.7,875,898.65,1288100,898.65
2016-08-30,907,918,901.9,908.05,626400,908.05
2016-08-31,909,910.35,890,893.2,500200,893.2
2016-09-01,896.75,910.9,885.25,891.3,487000,891.3
2016-09-02,897,956,894.5,952.7,2641400,952.7
2016-09-05,952.7,952.7,952.7,952.7,0,952.7
2016-09-06,961.6,981,947.55,969.55,2471300,969.55
2016-09-07,975.95,1021,974,1015.95,2214700,1015.95
2016-09-08,1021.5,1039.5,1018.05,1031,921300,1031
2016-09-09,1034,1057,1027.05,1035.9,966800,1035.9
2016-09-12,1019,1022,988,990.2,625600,990.2
2016-09-13,990.2,990.2,990.2,990.2,0,990.2
2016-09-14,996.65,1053.85,990.2,1045.15,1495200,1045.15
2016-09-15,1049.45,1093,1047,1064.45,1736700,1064.45
2016-09-16,1072.8,1084,1041.25,1065,1323100,1065
2016-09-19,1073,1139.4,1065.2,1128.9,2279800,1128.9
2016-09-20,1141,1153.8,1114.3,1139.35,1738700,1139.35
2016-09-21,1149,1174.4,1145.45,1166.65,1628900,1166.65
2016-09-22,1181.95,1192,1160,1180.15,1326100,1180.15
2016-09-23,1181,1204.45,1166.05,1183.15,1718900,1183.15
2016-09-26,1185,1198.35,1177,1188,983500,1188
