"Date","GODREJIND.NS.Open","GODREJIND.NS.High","GODREJIND.NS.Low","GODREJIND.NS.Close","GODREJIND.NS.Volume","GODREJIND.NS.Adjusted"
2015-06-25,343.45001,363.79999,340.20001,358.29999,943000,354.80216
2015-06-26,359.89999,362.79999,352.25,354.45001,321600,350.98977
2015-06-29,350.89999,350.89999,339.25,347.14999,171700,343.76102
2015-06-30,347.60001,359,344.5,355.70001,239700,352.22757
2015-07-01,360.5,367.35001,358.39999,362.20001,388800,358.66411
2015-07-02,360,366.60001,357,362.29999,178100,358.76311
2015-07-03,362.29999,367.5,360.25,363.25,303300,359.70385
2015-07-06,360,371.5,355.64999,370.04999,246100,366.43745
2015-07-07,370.10001,375.79999,368,373.5,220200,369.85379
2015-07-08,365.20001,371,362.5,367.20001,182800,363.6153
2015-07-09,367.79999,376.79999,363,370,373000,366.38795
2015-07-10,371.70001,371.79999,364.60001,368.60001,120400,365.00163
2015-07-13,368.60001,378,368.60001,377.25,183200,373.56718
2015-07-14,377,383.5,374.5,381.60001,270500,377.87472
2015-07-15,383.5,399.39999,380,396.64999,409500,392.77778
2015-07-16,397.89999,403.89999,391.10001,400.29999,349100,396.39214
2015-07-17,401,404,391,394.35001,295900,390.50025
2015-07-20,394.5,402.64999,389.60001,400.60001,224400,396.68923
2015-07-21,398.04999,409.70001,389.10001,390.85001,558300,387.03442
2015-07-22,390,406,389.10001,403.5,371900,399.56092
2015-07-23,402.70001,411.10001,392.04999,393.04999,523800,389.21292
2015-07-24,390.35001,399.70001,382.60001,384.79999,277000,381.04346
2015-07-27,383.60001,386.75,374.60001,376.45001,276500,372.775
2015-07-28,378.75,381.70001,371.25,373.75,303900,370.10135
2015-07-29,374.20001,376.10001,366.85001,372.75,408100,369.11111
2015-07-30,375.29999,393.45001,373.04999,390.85001,623600,387.03442
2015-07-31,392.89999,398.29999,387.60001,390.64999,282100,388.57616
2015-08-03,393.89999,396.60001,384.89999,387.29999,206100,385.24393
2015-08-04,388.70001,397.5,383.79999,389.64999,311000,387.58146
2015-08-05,390.39999,396,386.10001,390.04999,326800,387.97933
2015-08-06,391,400.70001,382.29999,397.04999,854000,394.94217
2015-08-07,397,405.79999,392.70001,395.39999,417600,393.30094
2015-08-10,395,412,393.25,402,649100,399.86591
2015-08-11,402.54999,407.70001,391.14999,393.89999,876500,391.8089
2015-08-12,393.39999,398.29999,380.25,381.79999,307200,379.77313
2015-08-13,382,391.79999,370.79999,372.89999,333600,370.92038
2015-08-14,374,393,369.14999,385.60001,601500,383.55298
2015-08-17,388.64999,388.64999,376.5,382.89999,206600,380.8673
2015-08-18,383.10001,389.89999,380,385.10001,346400,383.05563
2015-08-19,388.5,396.60001,381.89999,386.25,501800,384.19952
2015-08-20,387.25,390.20001,371.60001,375.75,335200,373.75526
2015-08-21,370.25,376.70001,367.85001,372.45001,380000,370.47279
2015-08-24,361,363.39999,316.60001,334.70001,514800,332.92319
2015-08-25,337.70001,362.60001,329,353.04999,566800,351.17576
2015-08-26,350.95001,355.79999,338.04999,340.95001,382500,339.14002
2015-08-27,346.70001,373.45001,344.39999,370.70001,1063800,368.73208
2015-08-28,371.79999,371.79999,361,369.45001,328500,367.48872
2015-08-31,372.20001,379.35001,358.75,369.29999,482500,367.33949
2015-09-01,364,369.5,360,366.14999,292200,364.20622
2015-09-02,368.5,375,357.29999,363.39999,433800,361.47082
2015-09-03,363.35001,369,361.10001,365.25,256100,363.311
2015-09-04,364,367,352.25,361.35001,341100,359.43171
2015-09-07,362,371.5,362,364.79999,237600,362.86338
2015-09-08,364.04999,372.20001,352.39999,361.45001,320200,359.53119
2015-09-09,370,370.5,363.29999,367.60001,125300,365.64853
2015-09-10,365,379.95001,361,375.60001,419900,373.60606
2015-09-11,376.10001,377.5,360.04999,363.20001,427200,361.2719
2015-09-14,365.04999,368,360.89999,364.04999,242700,362.11736
2015-09-15,365,367.10001,357.35001,359.25,140700,357.34285
2015-09-16,361,361.60001,352.5,354.25,228900,352.3694
2015-09-17,354.25,354.25,354.25,354.25,0,352.3694
2015-09-18,355.14999,358.35001,350.10001,353.75,254100,351.87205
2015-09-21,350,358,349,351.35001,265200,349.4848
2015-09-22,353,354.70001,340.10001,341.95001,235100,340.13471
2015-09-23,337.89999,346.95001,336,344.10001,212000,342.27329
2015-09-24,344.10001,360,339.14999,355.25,1172100,353.36409
2015-09-25,355.25,355.25,355.25,355.25,0,353.36409
2015-09-28,355.45001,359,348.70001,350.85001,171400,348.98745
2015-09-29,348,351,339.29999,343.35001,166900,341.52727
2015-09-30,346,353.39999,342.10001,348.10001,356400,346.25205
2015-10-01,349.79999,354.79999,346,350.60001,255700,348.73878
2015-10-02,350.60001,350.60001,350.60001,350.60001,0,348.73878
2015-10-05,353.5,362.10001,351.89999,358.54999,314800,356.64656
2015-10-06,360.10001,366.95001,356.10001,358.39999,598800,356.49736
2015-10-07,358.04999,361.10001,356,356.45001,80200,354.55773
2015-10-08,356.5,364.89999,355,359.20001,197300,357.29313
2015-10-09,361.45001,363.79999,357.85001,359.14999,160700,357.24338
2015-10-12,361,363.45001,355.85001,359.35001,78500,357.44233
2015-10-13,361.45001,361.45001,351.14999,352.70001,160700,350.82764
2015-10-14,353.39999,355.75,348,348.79999,466500,346.94832
2015-10-15,350.10001,366.39999,348.89999,364.29999,462800,362.36603
2015-10-16,364.79999,369.5,357.5,366.14999,165600,364.20622
2015-10-19,366,374.39999,365.79999,371,230600,369.03048
2015-10-20,370.95001,375.95001,366.20001,372.89999,222800,370.92038
2015-10-21,373.39999,374,362.54999,367.60001,162400,365.64853
2015-10-22,367.60001,367.60001,367.60001,367.60001,0,365.64853
2015-10-23,368.10001,369.79999,363.04999,367.04999,161700,365.10143
2015-10-26,368.95001,385.85001,368.29999,383.04999,648600,381.0165
2015-10-27,381,386.64999,377.29999,383.85001,268800,381.81227
2015-10-28,381.5,390,380,387.54999,238900,385.49261
2015-10-29,385.5,399.89999,383,397.60001,1016500,395.48927
2015-10-30,397,398.70001,387.14999,391.5,174100,389.42165
2015-11-02,386,399.79999,386,396.5,259100,394.39511
2015-11-03,400,406.5,396.04999,401.79999,475400,399.66696
2015-11-04,401.5,404.95001,395,396.54999,118400,394.44483
2015-11-05,395.89999,401.39999,384,386.95001,146700,384.89582
2015-11-06,385,394.64999,385,392.14999,195300,390.06819
2015-11-09,384.45001,400.95001,384.45001,390.79999,338800,388.72535
2015-11-10,391.5,393.75,374,375.54999,204800,373.55631
2015-11-11,375.54999,375.54999,375.54999,375.54999,0,373.55631
2015-11-12,375.54999,375.54999,375.54999,375.54999,0,373.55631
2015-11-13,374.64999,387,370.54999,382.64999,251700,380.61862
2015-11-16,383,391.85001,380.85001,388.79999,204700,386.73597
2015-11-17,390.5,394.5,385.29999,388,251900,385.94023
2015-11-18,388.5,391.25,376.20001,381.35001,219000,379.32554
2015-11-19,383.25,388.39999,381.39999,383.89999,216600,381.86199
2015-11-20,384.60001,391.75,379,383.79999,201400,381.76251
2015-11-23,384.04999,390,381,385.60001,277300,383.55298
