"Date","DALMIABHA.NS.Open","DALMIABHA.NS.High","DALMIABHA.NS.Low","DALMIABHA.NS.Close","DALMIABHA.NS.Volume","DALMIABHA.NS.Adjusted"
2015-10-23,711.1,720,711,712.2,15800,710.41
2015-10-26,714.1,720,706,711.2,55100,709.41
2015-10-27,706.05,719,699,701.5,18700,699.74
2015-10-28,695,716,690.5,706.15,13100,704.37
2015-10-29,701.65,714.95,700,701.3,6400,699.54
2015-10-30,695,712.8,690.65,702.55,9500,700.78
2015-11-02,695,720,690.05,716.65,151400,714.85
2015-11-03,720,720,700,703.3,16000,701.53
2015-11-04,710.4,710.5,700.9,707.35,28500,705.57
2015-11-05,702.55,718.5,702.55,712.85,112500,711.06
2015-11-06,720,725,681.8,718.15,34300,716.34
2015-11-09,713,720,685.05,710.35,10800,708.56
2015-11-10,704.05,717.2,704.05,712.95,11400,711.16
2015-11-11,712.95,712.95,712.95,712.95,0,711.16
2015-11-12,712.95,712.95,712.95,712.95,0,711.16
2015-11-13,719.8,719.8,708.15,717.85,5800,716.05
2015-11-16,715,720,701.5,716.6,8300,714.8
2015-11-17,716.6,718.75,712.65,714.9,43700,713.1
2015-11-18,712.55,722,709.45,719.7,109200,717.89
2015-11-19,712.95,729,712.95,724.55,16300,722.73
2015-11-20,713,733,713,720.25,13800,718.44
2015-11-23,712.45,730.5,712,727.7,69400,725.87
2015-11-24,729,731,720,726.7,5400,724.87
2015-11-25,726.7,726.7,726.7,726.7,0,724.87
2015-11-26,721.05,794.4,721,745.15,219600,743.28
2015-11-27,743.75,764.9,743.75,755.85,85400,753.95
2015-11-30,740,758.8,740,749.65,21100,747.77
2015-12-01,732,759.5,732,748.65,20900,746.77
2015-12-02,759.95,785,741,763.65,96600,761.73
2015-12-03,784,786,768.9,779.15,10300,777.19
2015-12-04,753.15,800,753.1,789.5,44600,787.51
2015-12-07,794,800.05,769,771.95,11800,770.01
2015-12-08,784.6,795,775.2,784.3,57300,782.33
2015-12-09,777.95,785.9,750.55,756.15,12100,754.25
2015-12-10,765.95,768.55,751,762.75,29100,760.83
2015-12-11,754.2,768,750.55,755.55,13500,753.65
2015-12-14,750.15,783,743.5,779.65,6800,777.69
2015-12-15,772.95,780,764.25,774.9,18900,772.95
2015-12-16,778,789.95,770,772.95,6600,771.01
2015-12-17,772.35,780,772.3,774.5,1800,772.55
2015-12-18,774.5,787,765,773.65,19100,771.7
2015-12-21,766.25,785,764.25,780.9,5600,778.94
2015-12-22,773,789,773,782.35,18800,780.38
2015-12-23,776.95,790.5,776.95,782.65,6000,780.68
2015-12-24,778.45,787.45,775.25,780.85,10100,778.89
2015-12-25,780.85,780.85,780.85,780.85,0,778.89
2015-12-28,773.45,792.05,773.45,783.45,11200,781.48
2015-12-29,782.65,797.4,779,793.85,73200,791.85
2015-12-30,786.75,833.9,786.75,826.9,51300,824.82
2015-12-31,831,873.2,816,864.15,81200,861.98
2016-01-01,880,886.95,852,867.2,21900,865.02
2016-01-04,852.95,864,811.4,831.85,16800,829.76
2016-01-05,826,846.95,825,835.7,7600,833.6
2016-01-06,829,848,817.15,826.6,25300,824.52
2016-01-07,818,828.5,790,799,58400,796.99
2016-01-08,805.5,827,780.05,786.9,13000,784.92
2016-01-11,779.4,796.7,760.1,788.25,9300,786.27
2016-01-12,787.05,809.25,786.25,793.9,10000,791.9
2016-01-13,799,804.9,755,789.8,12800,787.81
2016-01-14,784.95,814.4,760,787.85,18100,785.87
2016-01-15,785,795,744,763.55,110700,761.63
2016-01-18,764,774.4,714,741.3,29700,739.44
2016-01-19,738.95,771,725,756.6,20900,754.7
2016-01-20,745,770,700,746.15,27600,744.27
2016-01-21,748.95,765.45,720.05,732.15,14100,730.31
2016-01-22,748.95,764,733,749.3,106300,747.42
2016-01-25,754.95,764.8,710,722.6,7100,720.78
2016-01-26,722.6,722.6,722.6,722.6,0,720.78
2016-01-27,725,734.95,711.6,720.95,9200,719.14
2016-01-28,720.6,735,719.2,719.75,7800,717.94
2016-01-29,716.25,736,715,730.45,6500,728.61
2016-02-01,737.7,748.7,723.95,731.5,8400,729.66
2016-02-02,742,749.95,721.9,723.5,7100,721.68
2016-02-03,715,733.95,712.05,713.8,10500,712.01
2016-02-04,721.15,747.75,703.3,734.7,41500,732.85
2016-02-05,732.1,742,717,724.1,5500,722.28
2016-02-08,722.7,749.55,718,719.75,6400,717.94
2016-02-09,710,722.95,679.25,692.95,8400,691.21
2016-02-10,696,698.9,672.5,694.35,14400,692.6
2016-02-11,689,702,675,680.2,20500,678.49
2016-02-12,675.25,725,631.15,689.45,120100,687.72
2016-02-15,693,724.65,685,709.25,6000,707.47
2016-02-16,733,733,700.1,705.6,3700,703.83
2016-02-17,700,700,632.25,687.1,96400,685.37
2016-02-18,688.75,707.7,685.05,689.85,8600,688.12
2016-02-19,680.1,685,665.05,670.25,24200,668.56
2016-02-22,678,678,645.1,659.6,27000,657.94
2016-02-23,669.7,669.7,625.5,654.7,41200,653.05
2016-02-24,663.5,663.75,636.55,640,25100,638.39
2016-02-25,659,659,622.25,631,21600,629.41
2016-02-26,628,644.25,615.2,621.2,12200,619.64
2016-02-29,635,636.6,602.8,629.95,22900,628.37
2016-03-01,637,723,633.75,709.5,25600,707.72
2016-03-02,711,765,708.95,759.2,75100,757.29
2016-03-03,752.25,769.95,738.95,740.95,7700,739.09
2016-03-04,735,751.2,725,735.65,9600,733.8
2016-03-07,735.65,735.65,735.65,735.65,0,733.8
2016-03-08,736,759.8,710,717.5,12800,715.7
2016-03-09,711,745,700.1,735.55,24100,733.7
2016-03-10,750,775.5,730.05,735.75,14100,733.9
2016-03-11,749,749,710,722.9,7600,721.08
2016-03-14,723,739,716,719.45,5400,717.64
2016-03-15,722.35,725,695,697.3,13000,695.55
2016-03-16,695,719.65,682.85,690.8,9500,689.06
2016-03-17,709,732.75,700.5,714.3,35500,712.5
2016-03-18,725,735,719.5,729.3,31900,727.47
2016-03-21,729.3,825,729.3,795.45,81200,793.45
2016-03-22,806.9,824.5,790,801.4,20100,801.4
2016-03-23,802.25,817.8,797,802.4,37100,802.4
2016-03-24,802.4,802.4,802.4,802.4,0,802.4
2016-03-25,802.4,802.4,802.4,802.4,0,802.4
2016-03-28,806.5,819.7,785.7,801.1,40400,801.1
2016-03-29,804.1,810,797.15,805.35,30500,805.35
2016-03-30,810,821,800.1,809.35,40800,809.35
2016-03-31,812,820,793.75,799.15,36100,799.15
2016-04-01,791,809,785,791.8,28100,791.8
2016-04-04,793.5,803.25,783,796.35,14100,796.35
2016-04-05,795.5,808,790,797.55,5200,797.55
2016-04-06,804.25,804.25,788,799.8,14600,799.8
2016-04-07,809,819.8,795.6,799.9,12700,799.9
2016-04-08,817.85,879.95,795,866.5,273200,866.5
2016-04-11,869,878,853.6,864.9,20800,864.9
2016-04-12,864.9,873,852.1,855.75,8500,855.75
2016-04-13,860,865.75,852.25,863.65,25600,863.65
2016-04-14,863.65,863.65,863.65,863.65,0,863.65
2016-04-15,863.65,863.65,863.65,863.65,0,863.65
2016-04-18,864,880,860.1,864.3,71800,864.3
2016-04-19,864.3,864.3,864.3,864.3,0,864.3
2016-04-20,890,890,850,853.65,15200,853.65
2016-04-21,850,864.9,849.3,857.1,10400,857.1
2016-04-22,873.55,874,840,847.4,8000,847.4
2016-04-25,863,875,855.35,867.5,15500,867.5
2016-04-26,868.5,872.1,855,863.65,12400,863.65
2016-04-27,864.65,874,856,864.55,7300,864.55
2016-04-28,866.55,875,849.95,861.05,14100,861.05
2016-04-29,862.05,872,843.3,850.15,7100,850.15
2016-05-02,841,869.4,841,851.65,17500,851.65
2016-05-03,855,870,848,851.5,18100,851.5
2016-05-04,846.95,853,820,825.15,12900,825.15
2016-05-05,845.95,845.95,803,814.1,17000,814.1
2016-05-06,810,827.55,790.05,806.8,14600,806.8
2016-05-09,820,844.4,814,839.65,6700,839.65
2016-05-10,847.5,904.9,847.5,876.25,50400,876.25
2016-05-11,852,897,852,876.4,14300,876.4
2016-05-12,877.05,896,872.75,880.45,17900,880.45
2016-05-13,882,897,860.5,867.85,15500,867.85
2016-05-16,869,887,845.5,874.9,7700,874.9
2016-05-17,879.95,920,879,915.1,41100,915.1
2016-05-18,925.7,959,915,933.15,95300,933.15
2016-05-19,945.05,958.9,855,862.9,81800,862.9
2016-05-20,865.2,879.8,857.05,872.95,19300,872.95
2016-05-23,871,886,854,860.05,12100,860.05
2016-05-24,869,869,846.5,864.15,41200,864.15
2016-05-25,881,894,870,890.85,25100,890.85
2016-05-26,890.85,899,872,895.5,14000,895.5
2016-05-27,895.75,927,887,906.4,27300,906.4
2016-05-30,909.95,909.95,890,901.6,7200,901.6
2016-05-31,901.6,914,892.2,904.05,17800,904.05
2016-06-01,914.9,926,896,920.4,17000,920.4
2016-06-02,920.4,928,915.55,925.2,13800,925.2
2016-06-03,925,938,920,927.8,28200,927.8
2016-06-06,940,940,913.5,919.1,8100,919.1
2016-06-07,909,938,909,931.8,16600,931.8
2016-06-08,928,965.75,922,957.35,43400,957.35
2016-06-09,961,980,956,969.85,27900,969.85
2016-06-10,978.95,984.5,965.6,971.1,29900,971.1
2016-06-13,963.1,990,961.05,977.75,22600,977.75
2016-06-14,991,998,975,987.45,23400,987.45
2016-06-15,989.7,1012,985.05,998.4,17800,998.4
2016-06-16,1017.85,1018.95,971,1008.3,20700,1008.3
2016-06-17,1014,1098,1005.55,1078.35,48900,1078.35
2016-06-20,1064,1095,1062.05,1081.8,44800,1081.8
2016-06-21,1080.15,1091,1050.5,1067.95,29000,1067.95
2016-06-22,1068.2,1095.9,1068.2,1088.15,12800,1088.15
2016-06-23,1085,1100,1076,1091.8,31700,1091.8
2016-06-24,1066.95,1091,1020,1078.15,42100,1078.15
2016-06-27,1073.15,1098,1068,1093.5,23000,1093.5
2016-06-28,1085.2,1207,1085.2,1152.1,86200,1152.1
2016-06-29,1161,1197,1160.05,1175.15,81500,1175.15
2016-06-30,1176.45,1207.25,1176.45,1196.75,44600,1196.75
2016-07-01,1198.05,1221.7,1197,1218.45,42000,1218.45
2016-07-04,1215,1229,1207.4,1219.3,19800,1219.3
2016-07-05,1228.95,1229.9,1212,1216.05,7100,1216.05
2016-07-06,1216.05,1216.05,1216.05,1216.05,0,1216.05
2016-07-07,1225,1225.25,1210,1217.8,25700,1217.8
2016-07-08,1224,1225,1205.55,1209.75,6900,1209.75
2016-07-11,1240,1240,1213.25,1215.8,11800,1215.8
2016-07-12,1220,1225,1209,1212.4,10200,1212.4
2016-07-13,1211,1219.1,1191.2,1200.45,20400,1200.45
2016-07-14,1208,1235,1180.45,1226.9,30100,1226.9
2016-07-15,1212.2,1239.7,1195.1,1227.65,39800,1227.65
2016-07-18,1217.65,1237.15,1180.5,1224.5,18300,1224.5
2016-07-19,1212.55,1245,1211,1237.3,33500,1237.3
2016-07-20,1231.05,1288.45,1231.05,1283.85,26300,1283.85
2016-07-21,1290,1359.5,1281.2,1346.05,31500,1346.05
2016-07-22,1355,1458,1350,1436.65,143000,1436.65
2016-07-25,1449.4,1451.8,1382.1,1390.6,35300,1390.6
2016-07-26,1388,1434.7,1380,1388.95,31900,1388.95
2016-07-27,1418,1424,1389.95,1405.35,19000,1405.35
2016-07-28,1437,1500,1400,1466.35,684700,1466.35
2016-07-29,1465,1481,1430.1,1441.9,49800,1441.9
2016-08-01,1435,1460,1425,1445.05,46500,1445.05
2016-08-02,1439,1464.9,1423,1439.6,32300,1439.6
2016-08-03,1438,1447.95,1403,1424.3,23800,1424.3
2016-08-04,1438,1449.5,1411.8,1419.9,12200,1419.9
2016-08-05,1419.9,1454.9,1419.9,1446,24200,1446
2016-08-08,1446,1452.9,1415.3,1443,27600,1443
2016-08-09,1441,1460,1430,1436.65,17000,1436.65
2016-08-10,1440,1464.4,1416.65,1438.25,44500,1438.25
2016-08-11,1455,1489.95,1407,1472.6,28900,1472.6
2016-08-12,1465,1500,1460.05,1483.85,49000,1483.85
2016-08-15,1483.85,1483.85,1483.85,1483.85,0,1483.85
2016-08-16,1494.8,1494.8,1465.9,1475.15,17200,1475.15
2016-08-17,1480.1,1535,1476,1481.2,59900,1481.2
2016-08-18,1510,1530.85,1409.2,1445.5,134300,1445.5
2016-08-19,1449.7,1451.05,1380.55,1424.95,31900,1424.95
2016-08-22,1424.95,1465,1417.9,1443.75,44300,1443.75
2016-08-23,1459,1508.95,1440.45,1500.65,58900,1500.65
2016-08-24,1508,1525,1490,1516.9,18300,1516.9
2016-08-25,1523.85,1528.05,1441,1490.1,19400,1490.1
2016-08-26,1503.3,1511,1490,1494.8,15200,1494.8
2016-08-29,1487.5,1513.25,1485,1506.85,12200,1506.85
2016-08-30,1510,1559,1510,1553.75,58200,1553.75
2016-08-31,1560,1680,1535.35,1664.85,113200,1664.85
2016-09-01,1680.05,1704,1641,1669.35,89500,1669.35
2016-09-02,1669,1734.75,1667,1728.35,86900,1728.35
2016-09-05,1728.35,1728.35,1728.35,1728.35,0,1728.35
2016-09-06,1730,1810,1730,1802,85800,1802
2016-09-07,1808,1850,1775,1788.45,161700,1788.45
2016-09-08,1781,1800,1756,1773.3,42600,1773.3
2016-09-09,1755,1838.8,1755,1805.9,92500,1805.9
2016-09-12,1800,1817.95,1755,1808.95,157400,1808.95
2016-09-13,1808.95,1808.95,1808.95,1808.95,0,1808.95
2016-09-14,1809,1844.5,1778,1796.05,96500,1796.05
2016-09-15,1797,1812,1775,1783.55,21800,1783.55
2016-09-16,1785,1811,1714.15,1750.75,373500,1750.75
2016-09-19,1741,1741,1680.7,1704.55,36100,1704.55
2016-09-20,1717.9,1717.9,1625,1642.35,37000,1642.35
2016-09-21,1645,1781,1644,1733.7,77200,1733.7
