"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2015-08-13,1077,1082.7,1066.6,1077.55,866200,1068.78
2015-08-14,1083.1,1103.65,1079.9,1101.8,900400,1092.83
2015-08-17,1099.05,1101.8,1075.8,1091.5,625000,1082.61
2015-08-18,1091.6,1096.1,1078.45,1086.35,464300,1077.51
2015-08-19,1084.85,1087,1075,1081.85,751100,1073.04
2015-08-20,1068,1084.75,1068,1074.7,761200,1065.95
2015-08-21,1064,1072.95,1051,1061.3,1939700,1052.66
2015-08-24,1044.7,1044.7,1011.25,1019.05,3671500,1010.75
2015-08-25,1024.7,1032.3,1005.7,1018.45,3086900,1010.16
2015-08-26,1017.4,1029,1009,1013.5,1393200,1005.25
2015-08-27,1025,1034.45,1009.1,1022.1,3468300,1013.78
2015-08-28,1031.05,1042.75,1019.4,1027.95,1388200,1019.58
2015-08-31,1021.1,1032.9,1015.55,1027.45,860300,1019.09
2015-09-01,1021.3,1021.3,993,1000.1,2617200,991.96
2015-09-02,1005.1,1013.95,985,995.15,2170400,987.05
2015-09-03,1002.3,1015,999,1010.3,1626800,1002.08
2015-09-04,1002.2,1006,980,996.05,2851100,987.94
2015-09-07,1001,1009.8,980,984.45,1345400,976.44
2015-09-08,986.7,1010,977,1004.05,1861100,995.88
2015-09-09,1014.5,1025,1005,1016.3,1638200,1008.03
2015-09-10,1003,1016.95,996.3,1011,1115900,1002.77
2015-09-11,1014.5,1020,1006.8,1010.5,1075400,1002.27
2015-09-14,1008.85,1022.3,1003.5,1019.7,1265000,1011.4
2015-09-15,1017.95,1019.65,1008.1,1013.15,1083100,1004.9
2015-09-16,1018.9,1028.1,1011.55,1023.35,1063500,1015.02
2015-09-17,1023.35,1023.35,1023.35,1023.35,0,1015.02
2015-09-18,1035,1062,1031.15,1049.75,1960200,1041.2
2015-09-21,1037.95,1055,1036.35,1052.95,1069100,1044.38
2015-09-22,1050.05,1060,1025.3,1030.65,1506300,1022.26
2015-09-23,1019.2,1053.45,1018.65,1049.2,1290200,1040.66
2015-09-24,1047,1054,1036,1051.4,2063200,1042.84
2015-09-25,1051.4,1051.4,1051.4,1051.4,0,1042.84
2015-09-28,1055,1060,1043.1,1046.4,1444200,1037.88
2015-09-29,1032,1073.9,1025.1,1064.8,2604700,1056.13
2015-09-30,1068,1073,1061.35,1068.8,2256900,1060.1
2015-10-01,1075.2,1076.9,1059.35,1067.65,1258600,1058.96
2015-10-02,1067.65,1067.65,1067.65,1067.65,0,1058.96
2015-10-05,1077.2,1104.8,1077.2,1098.35,2013300,1089.41
2015-10-06,1107,1107.9,1083,1085.95,1189700,1077.11
2015-10-07,1088,1098.35,1083.35,1087.75,1096500,1078.89
2015-10-08,1088.1,1090.7,1075.4,1083.1,970400,1074.28
2015-10-09,1095,1095,1080.2,1086.15,860800,1077.31
2015-10-12,1087.7,1095.5,1077.8,1080.55,554300,1071.75
2015-10-13,1075.55,1082.15,1073.2,1076.35,455900,1067.59
2015-10-14,1068.8,1086.5,1067.05,1084.75,687200,1075.92
2015-10-15,1085.7,1096.5,1081,1084.15,981400,1075.32
2015-10-16,1090,1101.5,1085,1100.05,1210900,1091.09
