"Date","ASIANPAINT.NS.Open","ASIANPAINT.NS.High","ASIANPAINT.NS.Low","ASIANPAINT.NS.Close","ASIANPAINT.NS.Volume","ASIANPAINT.NS.Adjusted"
2015-03-11,818,819.95,806.75,809,942300,796.0266
2015-03-12,814.8,815,805.2,808.1,979600,795.141
2015-03-13,811.9,818.7,805.6,808.4,837900,795.4363
2015-03-16,813,835.85,809,831.85,1287100,818.5102
2015-03-17,839.35,841.95,823,831.4,1384900,818.0674
2015-03-18,835.85,835.85,810,814.2,1172700,801.1432
2015-03-19,824,847.85,821.7,834.8,2037800,821.4129
2015-03-20,836,837,805.6,809.95,1245300,796.9614
2015-03-23,816,816,805.5,811.6,759100,798.5849
2015-03-24,809.65,819.5,807.6,813.3,755900,800.2576
2015-03-25,813.8,817.35,802.5,808.5,834300,795.5346
2015-03-26,803,815.9,788,793.1,1516600,780.3816
2015-03-27,793,793,768.1,778.15,1557700,765.6714
2015-03-30,780.1,809.75,780.05,807.45,847400,794.5015
2015-03-31,807.9,817,802.05,811.3,947700,798.2897
2015-04-01,810,825.9,803.5,821.7,898400,808.523
2015-04-02,821.7,821.7,821.7,821.7,0,808.523
2015-04-03,821.7,821.7,821.7,821.7,0,808.523
2015-04-06,829,831.4,819,824.5,687200,811.278
2015-04-07,824.35,838.8,821,835.2,769500,821.8065
2015-04-08,841,854,840,846.85,982700,833.2696
2015-04-09,855,856,841,853.15,1019600,839.4686
2015-04-10,853,861.7,843.2,859.45,802000,845.6676
2015-04-13,860,865.55,852.4,862.05,805100,848.2259
2015-04-14,862.05,862.05,862.05,862.05,0,848.2259
2015-04-15,861.65,863,835,839.05,1279600,825.5947
2015-04-16,835,836.85,810.6,822.25,1366000,809.0641
2015-04-17,822.25,829.6,815,816.8,685300,803.7015
2015-04-20,818,819.3,800,808.95,920100,795.9774
2015-04-21,813.45,816.9,792,796.5,652600,783.7271
2015-04-22,800,806,769.2,785.45,1779300,772.8543
2015-04-23,793.1,810,785,786.4,1275200,773.7891
2015-04-24,792.5,792.5,765.05,771.35,1123900,758.9804
2015-04-27,775,775,740.55,744.8,1625200,732.8561
2015-04-28,741.95,768.65,730,765.45,2052700,753.175
2015-04-29,763.1,763.1,750,754.4,1445700,742.3022
2015-04-30,749.3,770.85,747.2,762.45,2260600,750.2231
2015-05-01,762.45,762.45,762.45,762.45,0,750.2231
2015-05-04,769.85,781.5,764,779.4,1071700,766.9013
2015-05-05,780,784.85,768.65,781.4,952700,768.8692
2015-05-06,779,779,750.15,760.85,1616600,748.6487
2015-05-07,753.3,773.45,734.85,765.75,1718400,753.4702
2015-05-08,773,774.4,752.75,759.4,1127200,747.222
2015-05-11,768,776.2,751.9,771.65,976300,759.2756
2015-05-12,772.8,772.85,754,758.35,1137000,746.1888
2015-05-13,759.05,775,759,762.5,839400,750.2723
2015-05-14,762,803,755,796.45,1975700,783.6779
2015-05-15,802,818,785,790.3,1503500,777.6265
2015-05-18,796.85,818,762,766.75,6759800,754.4541
2015-05-19,758,779.3,750,774.75,3903900,762.3259
2015-05-20,775.65,777.95,764.15,771.2,1793900,758.8328
2015-05-21,770,779.8,766.05,777.2,1678000,764.7366
2015-05-22,775,779.8,771.2,775.4,1039100,762.9655
2015-05-25,775.95,778.75,754.4,761.9,1282800,749.6819
2015-05-26,762.1,769,755.55,763.5,906100,751.2563
2015-05-27,762,762.05,754.4,759.25,792600,747.0744
2015-05-28,760.15,771,758.5,767.35,1051500,755.0445
2015-05-29,768.5,795,768,787.05,2583900,774.4286
