"Date","ASIANPAINT.NS.Open","ASIANPAINT.NS.High","ASIANPAINT.NS.Low","ASIANPAINT.NS.Close","ASIANPAINT.NS.Volume","ASIANPAINT.NS.Adjusted"
2016-09-27,1184.2,1203,1184.2,1192.55,532300,1189.5963
2016-09-28,1193,1201,1188.1,1193.5,566600,1190.5439
2016-09-29,1194.35,1203.35,1160,1167.35,1125500,1164.4586
2016-09-30,1167,1179.95,1156,1160.7,478200,1157.825
2016-10-03,1170,1199,1165.4,1193,747100,1190.0451
2016-10-04,1202,1203,1179.4,1192.55,503600,1189.5963
2016-10-05,1188,1224,1185,1208.75,1080700,1205.7561
2016-10-06,1210.1,1222.4,1201.7,1209.5,746000,1206.5042
2016-10-07,1208,1210,1180.8,1184.6,873400,1181.6659
2016-10-10,1189,1219,1189,1212.65,570100,1209.6464
2016-10-11,1212.65,1212.65,1212.65,1212.65,0,1209.6464
2016-10-12,1212.65,1212.65,1212.65,1212.65,0,1209.6464
2016-10-13,1227,1227.3,1208.85,1216.6,1391300,1213.5866
2016-10-14,1216.1,1220,1202.25,1205.75,354200,1202.7635
2016-10-17,1208.1,1208.4,1178.5,1182.3,365900,1179.3716
2016-10-18,1186.4,1193.35,1165.55,1174.5,1339000,1171.5909
2016-10-19,1180,1184.15,1163.25,1169.3,1201600,1166.4038
2016-10-20,1175,1177,1163.25,1165.75,448700,1162.8626
2016-10-21,1172.9,1172.9,1144.4,1153.5,948900,1150.6429
2016-10-24,1161.15,1162,1124.1,1127.5,1287000,1124.7073
2016-10-25,1131.95,1158.3,1117.1,1139.75,3014800,1136.927
2016-10-26,1153.3,1157,1113.9,1123.1,1323200,1120.3182
2016-10-27,1133,1134.4,1081,1085.45,1764500,1082.7614
2016-10-28,1081,1096.95,1066.05,1069.9,1732900,1067.25
2016-10-31,1069.9,1069.9,1069.9,1069.9,0,1067.25
2016-11-01,1077.1,1088.2,1072,1076.7,983100,1076.7
2016-11-02,1067.9,1083.35,1055.35,1062.75,872500,1062.75
2016-11-03,1058.3,1075,1033.45,1037.15,1075100,1037.15
2016-11-04,1039.2,1054.8,1035.1,1043.05,976200,1043.05
2016-11-07,1048,1059.6,1027.9,1037.35,829700,1037.35
2016-11-08,1044.75,1060,1040,1057,780300,1057
2016-11-09,999,1058.1,952,1050.95,2005800,1050.95
2016-11-10,1056,1060,1008,1011.3,1719000,1011.3
2016-11-11,1000,1004.95,958,962.3,2665900,962.3
2016-11-14,962.3,962.3,962.3,962.3,0,962.3
2016-11-15,970.95,970.95,869,890.8,5354000,890.8
2016-11-16,917.5,945.9,903,935.7,3032000,935.7
2016-11-17,946,947.15,917,918.45,1310100,918.45
2016-11-18,925.9,928.95,899.85,908.2,1335200,908.2
2016-11-21,918,918,891.75,900,1639400,900
2016-11-22,908,912.95,895,907.75,1678200,907.75
2016-11-23,915.9,946.4,912,942.05,2371800,942.05
2016-11-24,938.25,965.75,932.05,936.1,2908100,936.1
2016-11-25,943.9,953.3,938.8,945.45,1460400,945.45
2016-11-28,950,968.65,933.5,936.1,1335500,936.1
2016-11-29,940.4,967,935.2,958.55,2507500,958.55
2016-11-30,967.95,974.9,952.55,969.9,4460900,969.9
2016-12-01,967,968,936,939.15,1517100,939.15
2016-12-02,936,936.5,902,904.85,2139900,904.85
2016-12-05,910,941.6,895.25,937.65,1881900,937.65
2016-12-06,940.9,944.7,924.15,934.15,889100,934.15
2016-12-07,936,948.5,928.2,932.2,809100,932.2
2016-12-08,941.95,947.55,929.8,936.15,1024500,936.15
2016-12-09,942,953.95,935.05,941.75,1600100,941.75
2016-12-12,931.3,937.15,909,910.25,1531800,910.25
2016-12-13,915,915,895,906.75,1572200,906.75
2016-12-14,908,923.2,908,914.35,944600,914.35
2016-12-15,909.65,916.75,901.7,903,958900,903
2016-12-16,911.95,911.95,898,899.9,1041600,899.9
2016-12-19,901.4,902,875.1,878.4,1905600,878.4
2016-12-20,875.5,882,860.05,865.7,1811300,865.7
2016-12-21,867.2,876.5,861.55,865.55,1321900,865.55
2016-12-22,865.55,874.3,851.1,870.3,1472300,870.3
2016-12-23,875,885,861.5,874,1325600,874
2016-12-26,874,885,860,867.8,1313400,867.8
2016-12-27,871.9,877.8,863.4,876,846800,876
2016-12-28,876,890,869.55,875.7,1093700,875.7
2016-12-29,879,887,877,880.05,1203200,880.05
2016-12-30,884.95,895,882.5,891.05,935400,891.05
2017-01-02,893,907.5,882.25,904.65,1031400,904.65
2017-01-03,910,910,893.45,896.6,2068200,896.6
2017-01-04,901.9,914.5,897,906.6,1408200,906.6
2017-01-05,913.9,919.9,901.5,916.5,2569300,916.5
2017-01-06,918,932.5,914.6,929.5,1717500,929.5
2017-01-09,932,933.05,906,910.1,1356100,910.1
2017-01-10,915,929,907.95,923.6,1735000,923.6
2017-01-11,926.5,940.6,921.5,934.65,1236400,934.65
2017-01-12,935,939.35,926.3,933.55,955700,933.55
2017-01-13,935.55,938.2,927.15,933.25,770300,933.25
2017-01-16,930,941.55,926.9,935.25,889700,935.25
2017-01-17,940,963.5,937,960.15,1742400,960.15
2017-01-18,960.15,972.45,960,963.35,1216800,963.35
2017-01-19,965.1,965.75,954.4,962.7,770700,962.7
2017-01-20,960.3,977.85,954.15,967.2,2190300,967.2
2017-01-23,967.4,973.55,957.75,964.7,1206100,964.7
2017-01-24,963.5,979.85,953.6,973.45,1748100,973.45
2017-01-25,979,981.35,971.15,977.7,1128200,977.7
2017-01-26,977.7,977.7,977.7,977.7,0,977.7
2017-01-27,979.8,989.6,964.1,969.6,1043600,969.6
2017-01-30,969,979,963,973.2,572100,973.2
2017-01-31,972.8,977.5,964,970.7,603900,970.7
2017-02-01,970.7,1001.05,970.2,991,1241400,991
2017-02-02,989.45,995,981.95,989,1365500,989
2017-02-03,990,993.9,981.05,985.9,465700,985.9
2017-02-06,990.1,1004.95,985.5,992.5,744200,992.5
2017-02-07,992,1003.95,990.2,999.3,577700,999.3
2017-02-08,999.3,1009.9,981,997.7,1192300,997.7
2017-02-09,999,1005,991,1002.85,493100,1002.85
2017-02-10,1005.9,1009,990.5,993.05,479700,993.05
2017-02-13,995,1000,981.5,984.75,643600,984.75
2017-02-14,988,988.05,970,980.8,604100,980.8
2017-02-15,981.2,986.95,976,981.7,600900,981.7
2017-02-16,985,989.55,967.75,969.9,932300,969.9
2017-02-17,973,973.4,955.6,960.8,1142300,960.8
2017-02-20,961,979.95,953.85,975.75,1092300,975.75
2017-02-21,977.7,993.95,976.3,991.5,885000,991.5
2017-02-22,995.1,1025.75,993.9,1020.3,2809100,1020.3
2017-02-23,1030,1030,1005.35,1009,1580300,1009
2017-02-24,1009,1009,1009,1009,0,1009
2017-02-27,1010,1018.55,999,1001.95,738200,1001.95
2017-02-28,1003.1,1026.8,998.15,1024.2,1368200,1024.2
2017-03-01,1030,1040,1026.05,1032.75,1124100,1032.75
2017-03-02,1037.9,1044.75,1026.4,1028.75,1037400,1028.75
2017-03-03,1027.05,1027.05,1006,1013.7,596200,1013.7
2017-03-06,1020,1033.8,1016,1029.4,559200,1029.4
2017-03-07,1030.55,1032.6,1020.5,1023.95,429200,1023.95
2017-03-08,1024,1034.75,1015,1022.55,1164200,1022.55
2017-03-09,1028.5,1040.8,1025,1031.1,827500,1031.1
2017-03-10,1024.1,1037.2,1024.1,1030.25,579400,1030.25
2017-03-13,1030.25,1030.25,1030.25,1030.25,0,1030.25
2017-03-14,1049.8,1077.8,1040.6,1071.4,1640300,1071.4
2017-03-15,1068,1075.5,1061.1,1064.05,619800,1064.05
2017-03-16,1071.25,1089.5,1068.25,1087.55,1382400,1087.55
2017-03-17,1090.25,1092.2,1075,1079.45,782400,1079.45
2017-03-20,1081.8,1083,1067.15,1079.7,423000,1079.7
2017-03-21,1081.95,1084.95,1063.45,1068.7,1431600,1068.7
2017-03-22,1058,1064.15,1048.55,1057.85,661100,1057.85
2017-03-23,1060,1070,1054,1061.6,466600,1061.6
2017-03-24,1062.8,1073,1061.05,1064.25,435100,1064.25
2017-03-27,1068,1068,1039.95,1042.9,833500,1042.9
2017-03-28,1045,1061.95,1045,1057.85,452300,1057.85
2017-03-29,1062,1079,1057.85,1068.1,1345900,1068.1
2017-03-30,1068.1,1074.7,1062,1070.1,1171200,1070.1
2017-03-31,1070,1079.5,1065,1073.5,937900,1073.5
2017-04-03,1074.7,1098.45,1068.5,1089.85,790300,1089.85
2017-04-04,1089.85,1089.85,1089.85,1089.85,0,1089.85
2017-04-05,1094,1094.65,1068.8,1082.55,927300,1082.55
2017-04-06,1078.4,1089,1071.5,1086.9,690400,1086.9
2017-04-07,1077,1089.9,1073.1,1082.95,837800,1082.95
2017-04-10,1078.4,1080.45,1057.05,1059.2,757400,1059.2
2017-04-11,1063.7,1076.75,1056.55,1072.5,731000,1072.5
2017-04-12,1075.5,1081.9,1063.1,1070.45,719200,1070.45
2017-04-13,1070.45,1081.4,1066.15,1078.3,328600,1078.3
2017-04-14,1078.3,1078.3,1078.3,1078.3,0,1078.3
2017-04-17,1079.55,1080,1056.45,1059.35,506700,1059.35
2017-04-18,1062.4,1068.95,1037.3,1040.45,722800,1040.45
2017-04-19,1044,1056,1033.7,1048.9,398700,1048.9
2017-04-20,1056,1062.75,1042.5,1058.8,493500,1058.8
2017-04-21,1065.9,1071.5,1054.2,1065.45,701500,1065.45
