"Date","SHREECEM.NS.Open","SHREECEM.NS.High","SHREECEM.NS.Low","SHREECEM.NS.Close","SHREECEM.NS.Volume","SHREECEM.NS.Adjusted"
2015-02-27,10950,11120,10932.2,11001.1,35800,10954.11
2015-03-02,10647,11499,10644,11448.5,12300,11399.6
2015-03-03,11500,11520.8,11182.2,11454,4000,11405.07
2015-03-04,11400,11465,11182.8,11238.2,5900,11190.19
2015-03-05,11499.9,11499.9,11073.8,11154.1,21800,11106.45
2015-03-06,11154.1,11154.1,11154.1,11154.1,0,11106.45
2015-03-09,11154.1,11199,11000,11104,4400,11056.57
2015-03-10,10901,11300,10901,11017.5,24500,10970.44
2015-03-11,11050,11050,10600.7,10659.2,132600,10613.67
2015-03-12,10744,10744,10500,10688.5,5500,10642.84
2015-03-13,10917,10945,10581,10696.6,6700,10650.91
2015-03-16,10720,10750,10401,10686.5,13700,10640.85
2015-03-17,10825,10825,10622,10703.2,16100,10657.48
2015-03-18,10671,11499.9,10650,10840.7,13700,10794.39
2015-03-19,11011,11370,11000,11023.7,4800,10976.61
2015-03-20,11190,11202.2,10865.7,11037.8,51800,10990.65
2015-03-23,10980,11100,10715,10796.8,23900,10750.68
2015-03-24,10757.7,10800,10152,10586.4,9900,10541.18
2015-03-25,10762.9,11400,10584,11067.3,17300,11020.02
2015-03-26,10999.8,11300,10702,11066.4,22100,11019.13
2015-03-27,10751.7,11225,10751.7,10907,20100,10860.41
2015-03-30,10798,10990,10620,10752.4,10100,10706.47
2015-03-31,10899,10920,10670,10793.8,24800,10747.69
2015-04-01,10700,11042,10630,10878.2,34000,10831.73
2015-04-02,10878.2,10878.2,10878.2,10878.2,0,10831.73
2015-04-03,10878.2,10878.2,10878.2,10878.2,0,10831.73
2015-04-06,11050,11100,10750,10865.5,6300,10819.09
2015-04-07,10711,11094,10711,10955,10200,10908.2
2015-04-08,10955.1,11035.4,10713,10788.3,1800,10742.22
2015-04-09,10899,11245,10810.8,11091.9,10000,11044.52
2015-04-10,10999.8,11149.9,10750,10803.2,19600,10757.05
2015-04-13,10970,10970,10310,10437.7,20100,10393.11
2015-04-14,10437.7,10437.7,10437.7,10437.7,0,10393.11
2015-04-15,10535,10688,10320,10533.7,64400,10488.7
2015-04-16,10545,10579,10312.2,10451.5,14100,10406.85
2015-04-17,10485,10584.8,9865.7,10039.1,22700,9996.22
2015-04-20,10039.2,10135,9810,10050.4,31000,10007.47
2015-04-21,10061,10150,9999.95,10000.5,6500,9957.78
2015-04-22,10140,10140,10000,10102.4,27200,10059.25
2015-04-23,10215,10447,9989.2,10330.2,9700,10286.07
2015-04-24,10460,10460,9920.05,10041.6,13800,9998.71
2015-04-27,10003.2,10048.6,9824.85,9977.9,14500,9935.28
2015-04-28,10170.3,10499.9,9899.95,10255.3,12900,10211.49
2015-04-29,10300,10400,9850,10332.5,28600,10288.36
2015-04-30,10100.1,10487,10099.9,10192.8,12800,10149.26
2015-05-01,10192.8,10192.8,10192.8,10192.8,0,10149.26
2015-05-04,10270,10412.3,10100.5,10334.3,19100,10290.15
2015-05-05,10334.2,10479.9,10222,10414.2,7400,10369.71
2015-05-06,10305,10420,10250,10331,45600,10286.87
2015-05-07,10330,10330,10003.4,10128.2,26700,10084.94
2015-05-08,10187,10241.8,10030,10150.5,22900,10107.14
2015-05-11,10200,10354,10150,10280.8,12200,10236.88
2015-05-12,10201.1,10437.8,9921,10073.4,7400,10030.37
2015-05-13,10597,11525,10549.9,11088.2,186400,11040.83
2015-05-14,10850,11550.2,10701,11327.7,82100,11279.31
2015-05-15,11385,11985,11303.2,11820.4,65800,11769.91
2015-05-18,11800,12249,11583,11804.2,52000,11753.78
2015-05-19,11929,12080,11555,11601.4,42900,11551.84
2015-05-20,11780,11790,11515,11660.2,67400,11610.39
2015-05-21,11679.6,11771,11651.5,11688.3,25900,11638.37
2015-05-22,11750,11750,11551,11643.8,31300,11594.06
2015-05-25,11700,11950,11528.3,11679.5,36400,11629.61
2015-05-26,11775,11887.7,11651.5,11788.7,97000,11738.34
2015-05-27,11660.1,11795.8,11125,11426,56300,11377.19
2015-05-28,11426,11499.4,10818.6,10903.1,53500,10856.52
2015-05-29,11025,11599.7,10450,11336.2,856700,11287.78
2015-06-01,10907,11574,10907,11420.9,62400,11372.11
2015-06-02,11458.5,11580,11256.7,11304.7,25700,11256.41
2015-06-03,11210,11400,10810,10871.7,23100,10825.26
2015-06-04,10802,11449.3,10750,11168.5,25000,11120.79
2015-06-05,11200,11399,11000.3,11254.7,8700,11206.62
2015-06-08,11201,11255.2,10860.2,10991.3,12300,10944.35
2015-06-09,10856.5,10987.9,10800,10900.4,2700,10853.84
2015-06-10,10900.5,10918,10610,10770.6,5200,10724.59
2015-06-11,10666,10884.4,10666,10786.3,9500,10740.22
2015-06-12,10778,10880,10450,10601,4900,10555.72
2015-06-15,10600,10645.4,10204,10489.2,4700,10444.39
2015-06-16,10384,10500,10201,10228,7900,10184.31
2015-06-17,10310,10798,10255,10617.5,14000,10572.15
2015-06-18,10780,10989,10086.6,10702.7,5600,10656.98
2015-06-19,10580,11000.1,10580,10863.3,18000,10816.9
2015-06-22,10950,11199,10800,11014.9,13300,10967.85
2015-06-23,11050.2,11350,10826.8,10933.8,13200,10887.09
2015-06-24,10945,11250,10810.5,10923,10800,10876.34
2015-06-25,11080,11238,10900,11030.5,11800,10983.38
2015-06-26,11075,11200,10910,11031.6,20800,10984.48
2015-06-29,10925,11260,10800,11123.1,15000,11075.59
2015-06-30,11199.1,11549.9,11150,11341,21400,11292.55
2015-07-01,11340,11539.8,11282.7,11392.7,16600,11344.03
2015-07-02,11449.5,11579.8,11100,11148.7,8900,11101.08
2015-07-03,11200,11270.1,10860,10925.3,11500,10878.63
2015-07-06,10860,11186.2,10759,11079.2,5900,11031.87
2015-07-07,11150,11235,10940,10983,3100,10936.08
2015-07-08,10955,11225,10905,11095.8,7900,11048.4
2015-07-09,11170,11199,10960,11105.3,9800,11057.86
2015-07-10,11170,11170,10902,10971.8,2600,10924.93
2015-07-13,10971,11225,10971,11186,3300,11138.22
2015-07-14,11200,11242.2,11020,11090.1,1300,11042.73
2015-07-15,11150,11295,11070,11244.9,41800,11196.87
2015-07-16,11290,11689.9,11266.4,11575.7,11100,11526.25
2015-07-17,11551,11796,11505.5,11687.2,4100,11637.28
2015-07-20,11687.2,11718.8,11311,11409.7,11500,11360.96
2015-07-21,11286,11490,11100,11260.3,8900,11212.2
2015-07-22,11260,11299,10661,10760.4,30000,10714.44
2015-07-23,10970,10970,10710,10871.8,10800,10825.36
2015-07-24,10820,11099.9,10800,10949.3,7900,10902.53
2015-07-27,11000,11001.1,10755,10785.7,6200,10739.63
2015-07-28,10925,10925,10785,10802.7,5500,10756.55
2015-07-29,10970,11110,10802,11054.1,10700,11006.88
2015-07-30,11110,11229.7,10900,11023.3,9000,10976.21
2015-07-31,10861,11500,10861,11421.3,9600,11372.51
2015-08-03,11490,11770,11366.5,11463.1,4800,11414.13
2015-08-04,11463,11677.3,11260,11477,6100,11427.97
2015-08-05,11477,11799,11465,11632.7,23200,11583.01
2015-08-06,11771,11800,11450,11625.7,10100,11576.04
2015-08-07,11600,11600.8,11219.6,11283.3,13200,11235.1
2015-08-10,11400.8,11472.5,11120,11232.5,9100,11184.52
2015-08-11,11200.3,11439.8,11079,11213.8,3500,11165.9
2015-08-12,11345,11345,10825,10961.2,7000,10914.38
