"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2015-02-23,177,178.25,174.15,176.85,2135000,173.57
2015-02-24,177.2,177.75,175.1,176.8,858400,173.52
2015-02-25,177,178.2,175.1,176.8,1161700,173.52
2015-02-26,177.1,180.45,174,178.7,1532900,175.39
2015-02-27,179.8,184.5,177.1,183.7,1287900,180.29
2015-03-02,181.95,184.9,178.25,184.45,614400,181.03
2015-03-03,185.05,185.5,181.05,182.1,363300,178.72
2015-03-04,182.3,185,178.4,179.2,755800,175.88
2015-03-05,179,180.5,176.25,178.85,320400,175.53
2015-03-06,178.85,178.85,178.85,178.85,0,175.53
2015-03-09,178,180.2,176.9,179.5,569300,176.17
2015-03-10,182,182,178.1,179.5,645200,176.17
2015-03-11,180.8,181.5,176.1,177.2,2538500,173.91
2015-03-12,176,178.05,176,176.75,634200,173.47
2015-03-13,177.15,179.7,172.8,174.7,1152700,171.46
2015-03-16,174.7,178.75,172.65,175.8,1371500,172.54
2015-03-17,175.35,179.35,175.35,177.75,1031400,174.45
2015-03-18,177.75,180.3,176.3,180,1237800,176.66
2015-03-19,180.65,196.7,177.05,179.65,1145800,176.32
2015-03-20,179,179.95,176.95,177.6,576100,174.31
2015-03-23,176.05,179,175.95,178.75,446400,175.43
2015-03-24,178.3,179.35,175.5,176.4,484600,173.13
2015-03-25,176.05,177.9,174.9,176.05,282400,172.78
2015-03-26,178,179.5,176.65,177.8,970400,174.5
2015-03-27,177.5,181,172,173.55,1157100,170.33
2015-03-30,174,176.8,171,176.2,541800,172.93
2015-03-31,176.9,177.6,170.6,171.55,1015800,168.37
2015-04-01,171.75,176.65,171.4,175.9,363200,172.64
2015-04-02,175.9,175.9,175.9,175.9,0,172.64
2015-04-03,175.9,175.9,175.9,175.9,0,172.64
2015-04-06,176,178.8,174.45,178.2,304700,174.89
2015-04-07,180,183.9,179.55,180.75,894200,177.4
2015-04-08,182.1,184.2,180.2,181.65,629800,178.28
2015-04-09,183.15,186.25,182.8,185.15,656600,181.72
2015-04-10,185.9,187,182.1,185.95,747300,182.5
2015-04-13,187,188.55,183.6,186.65,434600,183.19
2015-04-14,186.65,186.65,186.65,186.65,0,183.19
2015-04-15,187,190.65,184.75,186.3,670600,182.84
2015-04-16,187,188.7,184.8,186.1,289200,182.65
2015-04-17,186.1,186.85,183.05,184.5,697400,181.08
2015-04-20,184,184.2,177.85,179.95,809000,176.61
2015-04-21,179.95,182.25,175,176.75,1317400,173.47
2015-04-22,174.65,180.7,174.65,177.1,735900,173.81
2015-04-23,178.15,178.7,172.7,173.85,464700,170.63
2015-04-24,173.9,175.15,166.1,167.1,981600,164
2015-04-27,165,171.8,159.5,170.2,2355200,167.04
2015-04-28,165,171,163.1,170.05,1191300,166.9
2015-04-29,168.15,176.85,166.9,175.15,815400,171.9
2015-04-30,173,180,169.85,174.65,2286100,171.41
2015-05-01,174.65,174.65,174.65,174.65,0,171.41
2015-05-04,173.05,176,170,175.6,329100,172.34
2015-05-05,175.8,177.1,172.7,175.9,960400,172.64
2015-05-06,175.15,179.9,172.25,177.15,1111300,173.86
2015-05-07,176.9,176.9,169.25,172.4,1335200,169.2
2015-05-08,173,175.55,169.1,169.8,630100,166.65
2015-05-11,169,177,168,175.35,626300,172.1
2015-05-12,175.35,177.7,169.7,172.9,1068400,169.69
2015-05-13,173.75,177.7,170.55,176.85,1337900,173.57
2015-05-14,176.5,180.45,173.15,179.55,917100,176.22
2015-05-15,180,180.45,175.75,176.9,2043500,173.62
2015-05-18,175,179.9,175,178.5,837000,175.19
2015-05-19,178.5,185.4,178.05,184.8,993300,181.37
2015-05-20,185,187.9,182.9,186.4,924500,182.94
2015-05-21,185.9,187,183.1,184.95,1342600,181.52
2015-05-22,184.6,187.6,184.3,185.3,964200,181.86
2015-05-25,185,188.25,184.15,186.55,772100,183.09
2015-05-26,186.8,186.95,181.5,182.35,454200,178.97
2015-05-27,180,183.9,177.4,179.45,1003400,176.12
2015-05-28,179.35,185,179.15,183.6,1928300,180.19
2015-05-29,183.8,183.9,181,181.85,371800,178.48
2015-06-01,181.5,183.75,180,181.6,434700,178.23
2015-06-02,182,184.8,181,182.3,565800,178.92
2015-06-03,182.1,185.1,180.65,184.25,529300,180.83
2015-06-04,185.65,187,179.15,182.3,1127600,178.92
2015-06-05,181.55,183,180.1,182.05,546700,178.67
2015-06-08,182,182,175,175.75,769100,172.49
2015-06-09,174.1,176.75,172,174,1406100,170.77
2015-06-10,174,178.2,173,175.7,558300,172.44
2015-06-11,176.2,177.65,173.95,175.9,503600,172.64
2015-06-12,175.05,176.4,173.05,175.25,437600,172
