"Date","STAR.NS.Open","STAR.NS.High","STAR.NS.Low","STAR.NS.Close","STAR.NS.Volume","STAR.NS.Adjusted"
2015-08-05,1247.9,1288,1245.1,1269.5,817200,1265.19
2015-08-06,1269,1330.8,1268.9,1324.05,1266500,1319.55
2015-08-07,1330,1349,1316.3,1331.55,1284200,1327.02
2015-08-10,1332.65,1342,1285,1308.3,475100,1303.85
2015-08-11,1305,1312.45,1276.25,1295.3,363600,1290.9
2015-08-12,1295.3,1295.3,1295.3,1295.3,0,1290.9
2015-08-13,1283,1300,1273,1279.85,241500,1275.5
2015-08-14,1289.8,1314,1282,1301.8,247500,1297.38
2015-08-17,1307,1328.9,1287,1315.4,325900,1310.93
2015-08-18,1325,1335,1305.7,1323.3,298200,1318.8
2015-08-19,1323,1361,1292.5,1346.55,705200,1341.97
2015-08-20,1345,1374.1,1314.05,1322.7,506800,1318.2
2015-08-21,1312.8,1354.7,1277.5,1349.5,542700,1344.91
2015-08-24,1285.05,1313.4,1153.6,1194.45,830700,1190.39
2015-08-25,1224,1235,998.5,1166.15,1667900,1162.19
2015-08-26,1160,1170.9,1093.2,1133.7,586700,1129.85
2015-08-27,1156,1197.9,1142.05,1157.45,815300,1153.52
2015-08-28,1179,1221.85,1148.55,1191.35,756900,1187.3
2015-08-31,1197,1235.95,1185.8,1226.55,521400,1222.38
2015-09-01,1209.9,1237.95,1172.5,1190.6,498500,1186.55
2015-09-02,1188.5,1214.7,1172.2,1181.25,310100,1177.24
2015-09-03,1194.4,1213,1189,1204.35,270600,1200.26
2015-09-04,1200,1202.5,1130.5,1144.85,426800,1140.96
2015-09-07,1144.7,1144.7,1065,1075.25,410900,1071.6
2015-09-08,1073,1084,1006.95,1074.35,886500,1070.7
2015-09-09,1102,1108.55,1052.3,1058.55,510100,1054.95
2015-09-10,1028,1103.3,1018.5,1096,733900,1092.28
2015-09-11,1109.5,1126.4,1095.1,1105.25,505700,1101.49
2015-09-14,1110.15,1196.6,1098.6,1187.8,1024900,1183.76
2015-09-15,1187,1187,1145.75,1154.3,390700,1150.38
2015-09-16,1162,1178,1131,1147.25,260000,1143.35
2015-09-17,1147.25,1147.25,1147.25,1147.25,0,1143.35
