"Date","LT.NS.Open","LT.NS.High","LT.NS.Low","LT.NS.Close","LT.NS.Volume","LT.NS.Adjusted"
2015-05-05,1635,1665,1626.75,1642.4,1423600,1589.8576
2015-05-06,1642.5,1643.9,1558.2,1564.65,3229100,1514.5949
2015-05-07,1560,1585,1543.6,1568.9,2652000,1518.709
2015-05-08,1589,1615,1581.55,1601.25,2561500,1550.024
2015-05-11,1611.3,1632,1607.75,1615.3,2058500,1563.6246
2015-05-12,1614.9,1614.9,1555,1559.4,2191800,1509.5129
2015-05-13,1570.05,1595,1560.8,1589.7,1626300,1538.8435
2015-05-14,1586.15,1591.9,1570.4,1576.85,1184700,1526.4046
2015-05-15,1586.85,1602,1575.5,1591.95,1841300,1541.0215
2015-05-18,1597.4,1616.3,1589,1612.35,1194700,1560.7689
2015-05-19,1614.95,1635,1609,1620.7,1521100,1568.8517
2015-05-20,1627.95,1635.45,1608,1612.55,961700,1560.9626
2015-05-21,1620,1641,1609.35,1638.3,1634100,1585.8888
2015-05-22,1640,1662,1632.8,1653.45,1765100,1600.554
2015-05-25,1649.8,1649.8,1625,1630.25,931600,1578.0963
2015-05-26,1636.7,1636.7,1608.5,1618.4,1373000,1566.6254
2015-05-27,1620,1645.9,1609.25,1635.4,1050300,1583.0815
2015-05-28,1637.1,1640.85,1605,1626.75,1755400,1574.7082
2015-05-29,1630.5,1669.75,1625.7,1654.45,2794300,1601.522
2015-06-01,1674,1709,1643,1705.55,3591200,1650.9874
2015-06-02,1711,1717.8,1667,1673.55,2915700,1620.0111
2015-06-03,1675,1687.55,1644,1653.65,2139900,1600.7477
2015-06-04,1658,1680,1645.55,1662.45,1311400,1609.2661
2015-06-05,1660,1704,1658.75,1683.6,1603200,1629.7395
2015-06-08,1683.7,1706,1671.1,1678.75,1419600,1625.0447
2015-06-09,1675.95,1685.8,1656,1666.9,944400,1613.5738
2015-06-10,1671,1717.9,1670,1706.05,1592800,1651.4714
2015-06-11,1714.9,1724.45,1670.25,1676.15,1987500,1622.5279
2015-06-12,1674.6,1683.2,1650,1657.45,1223400,1604.4261
2015-06-15,1665.2,1694.4,1652,1668.4,1133800,1615.0258
2015-06-16,1670,1685,1655.85,1677.4,1362400,1623.7379
2015-06-17,1686,1722.5,1676,1710.85,2656000,1656.1178
2015-06-18,1715,1729.5,1708.75,1717.15,1894700,1662.2163
2015-06-19,1725,1742.1,1707.25,1716.1,1417400,1661.1998
2015-06-22,1725,1739,1716.55,1732.5,1075600,1677.0752
2015-06-23,1741,1772,1737.5,1766.55,1567100,1710.0359
2015-06-24,1768,1774.7,1745,1753.25,1211000,1697.1614
2015-06-25,1740.1,1817,1740.1,1809.75,2801100,1751.8538
2015-06-26,1803.6,1804,1775,1780.7,1212000,1723.7331
2015-06-29,1747,1795,1719,1790.55,2073500,1733.2681
2015-06-30,1785.6,1808.9,1768,1782.8,2051100,1725.7661
2015-07-01,1782.95,1819,1782.95,1811.7,1647500,1753.7414
2015-07-02,1812,1818,1792,1800.35,890500,1742.7545
2015-07-03,1800,1825,1792.5,1807.3,1220600,1749.4823
2015-07-06,1775.05,1821.5,1775,1816.05,1353000,1757.9523
2015-07-07,1816.95,1824,1795.2,1811.35,1152600,1753.4026
2015-07-08,1790,1814.7,1770,1806.45,1590500,1748.6594
2015-07-09,1815.25,1851,1815.25,1848.9,1925500,1789.7514
2015-07-10,1850,1880,1849.55,1876.4,1797900,1816.3717
2015-07-13,1876.4,1880,1844,1857.7,1440200,1798.2698
2015-07-14,1859.7,1871.95,1851.1,1857.55,1113000,1798.1247
2015-07-15,1865,1880,1862.45,1869.4,1171600,1809.5956
2015-07-16,1870,1877,1857,1868.05,1416200,1808.2888
2015-07-17,1870.9,1888,1864.05,1871.6,1675600,1811.7252
2015-07-20,1873,1879.9,1850,1867.3,1103100,1807.5628
2015-07-21,1869.9,1883,1838.1,1844.95,870300,1785.9277
2015-07-22,1843.6,1868,1831.05,1854.45,1095400,1795.1238
2015-07-23,1860,1864.55,1823,1831.05,1340900,1772.4725
2015-07-24,1835,1836.95,1797.05,1802.35,1324100,1744.6906
2015-07-27,1797.1,1798,1737.85,1743.35,2371100,1687.578
2015-07-28,1750,1772,1743.65,1758.95,1237600,1702.679
2015-07-29,1766.8,1798.45,1750.05,1790.3,1125100,1733.0261
2015-07-30,1805,1810,1768.45,1773.75,1747400,1717.0055
2015-07-31,1784.5,1815.85,1766,1791.25,1921700,1733.9457
2015-08-03,1710.05,1784,1704.05,1779.4,3302200,1722.4748
2015-08-04,1780,1794.8,1759,1774.75,1403400,1717.9735
2015-08-05,1774.75,1791.9,1769.1,1779.6,1034700,1722.6684
2015-08-06,1777.1,1836.8,1775,1830.75,1873100,1772.182
2015-08-07,1830,1844,1816.1,1833.45,1578900,1774.7956
2015-08-10,1831.55,1844.2,1806.1,1820.75,1444600,1762.5019
2015-08-11,1822.2,1824.9,1782,1801.15,1105900,1743.529
2015-08-12,1792.55,1792.7,1752,1762.5,1652500,1706.1154
2015-08-13,1762.5,1793.95,1748,1760.15,2417400,1703.8406
2015-08-14,1778.75,1804.75,1750.05,1799.5,1303900,1741.9318
2015-08-17,1792.9,1800,1765.55,1780.35,1005800,1723.3944
2015-08-18,1793.2,1814.95,1783.1,1800.15,1382500,1742.561
2015-08-19,1799.9,1820,1786,1814.7,1084000,1756.6454
2015-08-20,1795,1819,1764,1781.85,1355200,1724.8464
2015-08-21,1755,1755,1725,1740,2058600,1684.3352
2015-08-24,1698,1698,1605,1631.55,3206500,1579.3547
2015-08-25,1649.95,1665.5,1575,1624.65,3624300,1572.6755
2015-08-26,1627.9,1642.5,1584.6,1592.2,2279200,1541.2635
2015-08-27,1630,1638,1590.1,1620.05,4324500,1568.2226
2015-08-28,1639.9,1655,1605.2,1616.45,2371500,1564.7377
2015-08-31,1617,1630,1599,1602.9,1697400,1567.3779
2015-09-01,1580,1587,1538.5,1557.9,3194000,1538.9771
2015-09-02,1584,1584,1519.95,1527.65,3104700,1509.0946
2015-09-03,1542.3,1572,1537.6,1568.8,2340100,1549.7448
2015-09-04,1558.9,1564.7,1520,1533.85,2175100,1515.2192
2015-09-07,1539.55,1551,1504,1509.5,1221000,1491.165
2015-09-08,1515,1569,1490,1564.5,1848100,1545.4969
2015-09-09,1585.5,1597.5,1560,1592.5,2313200,1573.1568
2015-09-10,1571.4,1625,1555.45,1615.35,1960300,1595.7293
2015-09-11,1625,1629.6,1592.55,1602.95,1580400,1583.4799
2015-09-14,1606.65,1619,1588,1605.95,1042700,1586.4434
2015-09-15,1606,1614.4,1550,1558.15,2781200,1539.2241
2015-09-16,1572,1572.6,1535.2,1548.7,2516200,1529.8888
2015-09-17,1548.7,1548.7,1548.7,1548.7,0,1529.8888
2015-09-18,1561,1584,1535.05,1540.6,2015800,1521.8872
2015-09-21,1530,1557.35,1527.5,1550.25,1614000,1531.42
2015-09-22,1560.3,1561.9,1480.25,1484.95,3283500,1466.9131
2015-09-23,1473,1504,1447.25,1495.3,2765600,1477.1375
2015-09-24,1487.4,1487.4,1460,1462.45,2225100,1444.6864
2015-09-25,1462.45,1462.45,1462.45,1462.45,0,1444.6864
2015-09-28,1464,1469.05,1425.6,1430.05,2494500,1412.6801
2015-09-29,1420,1465,1412.35,1446.25,3051200,1428.6832
2015-09-30,1464.8,1469,1446.4,1466.25,2191700,1448.4403
2015-10-01,1483,1494.65,1462.1,1490.1,1804500,1472.0006
2015-10-02,1490.1,1490.1,1490.1,1490.1,0,1472.0006
2015-10-05,1504.1,1554,1504.1,1550.65,2637100,1531.8152
2015-10-06,1563.7,1563.7,1539.5,1554.85,2430900,1535.9641
2015-10-07,1550,1555.9,1540,1544.75,932600,1525.9868
2015-10-08,1543,1548.9,1520.45,1533.7,1089600,1515.071
2015-10-09,1547.3,1564.95,1538,1546.4,1364300,1527.6168
2015-10-12,1555,1566.25,1549.5,1554,792200,1535.1245
2015-10-13,1560,1566.7,1532.5,1545.8,1209200,1527.0241
2015-10-14,1538.9,1553.9,1535.05,1540.35,1129000,1521.6402
2015-10-15,1550.15,1563.5,1545.1,1560.5,1256200,1541.5455
2015-10-16,1565.5,1608.9,1552.55,1604.95,1720400,1585.4556
2015-10-19,1607.9,1610,1575.3,1580.8,1262100,1561.599
2015-10-20,1585.7,1596.8,1568.1,1573.55,1462800,1554.4371
2015-10-21,1575.95,1577.55,1546.05,1550.45,1390700,1531.6175
2015-10-22,1550.45,1550.45,1550.45,1550.45,0,1531.6175
2015-10-23,1562.05,1569.85,1506.25,1510.3,2864700,1491.9553
2015-10-26,1520.05,1530,1504,1508.45,1757300,1490.1277
